skills,experience,salary,location,job_interest,sector,education_level
"Network Security, Ethical Hacking, Penetration Testing, Firewalls, SIEM, Forensics",11,115193,Annaba,Cybersecurity,Information Technology,Technical Diploma
"Penetration Testing, Forensics, SIEM",6,69218,Ouargla,Cybersecurity,Information Technology,High School
"Reservation Systems, Event Planning, Customer Service, Front Desk",1,130677,Tlemcen,Hospitality,Tourism & Hospitality,High School
"MATLAB, AutoCAD, Design",4,44662,Ghardaia,Engineering,Engineering,Doctorate
"Google Ads, Content Creation, Copywriting, Social Media, SEO, Analytics",4,109485,M'Sila,Marketing,Business,Ingénieur
"Supply Chain, Warehouse Ops, Fleet Management",6,102366,Tlemcen,Logistics,Supply Chain,Ingénieur
"Content Creation, Copywriting, SEO, Google Ads, Social Media, Analytics",1,183616,Blida,Marketing,Business,Technical Diploma
"Routing, Supply Chain, Inventory Management, Fleet Management",1,182700,Ouargla,Logistics,Supply Chain,Ingénieur
"Lead Generation, Sales Forecasting, Cold Calling",10,51200,Bejaia,Sales,Business,Ingénieur
"Food Safety, Event Planning, Front Desk",2,100021,Tlemcen,Hospitality,Tourism & Hospitality,Doctorate
"Customer Service, Reservation Systems, Event Planning",13,128609,Oran,Hospitality,Tourism & Hospitality,Doctorate
"Responsive Design, CSS, WordPress, Node.js",4,95657,Mostaganem,Web Development,Information Technology,Doctorate
"Node.js, CSS, React, Responsive Design, HTML",4,126014,Tipaza,Web Development,Information Technology,Bachelor's
"JavaScript, Python, Django, REST, SQL, Java",1,127697,Blida,Software Engineering,Information Technology,High School
"Statistics, Pandas, R, Machine Learning, TensorFlow",6,124820,Ghardaia,Data Science,Information Technology,No Formal Education
"Inventory Management, Supply Chain, Warehouse Ops, Routing",3,115813,Batna,Logistics,Supply Chain,No Formal Education
"Assessment, E-Learning, Classroom Management, Mentoring, Teaching",3,42092,Sidi Bel Abbès,Education,Education,Master's
"Fleet Management, Supply Chain, Inventory Management, Warehouse Ops, Routing",3,103186,Biskra,Logistics,Supply Chain,No Formal Education
"Front Desk, Customer Service, Reservation Systems, Event Planning",6,75548,Ouargla,Hospitality,Tourism & Hospitality,Master's
"Negotiation, Litigation, Regulatory Compliance, Case Management, Legal Research, Contracts",1,66140,Annaba,Legal,Legal,Bachelor's
"CPR, EMR, Phlebotomy, Anatomy, Medical Terminology",11,93553,M'Sila,Healthcare,Health,Technical Diploma
"Irrigation, Pest Control, Agro-tech, Tractor Operation, Crop Management, Soil Testing",2,95705,Biskra,Agriculture,Agriculture,Ingénieur
"Accounting, Investment, Risk Management, Excel, Financial Analysis, Auditing",1,87961,Batna,Finance,Business,Doctorate
"Supply Chain, Fleet Management, Inventory Management, Warehouse Ops",1,137797,Tizi Ouzou,Logistics,Supply Chain,Technical Diploma
"Excel, Budgeting, Auditing, Accounting",3,66640,Ghardaia,Finance,Business,Doctorate
"CRM, Sales Forecasting, Lead Generation, Cold Calling, Customer Service",6,50206,Constantine,Sales,Business,Master's
"Creativity, 3D Modeling, Photoshop, Illustrator",2,89303,Tlemcen,Art & Design,Creative,No Formal Education
"UI/UX, Illustrator, Creativity, 3D Modeling, Photoshop",5,115411,Annaba,Art & Design,Creative,Doctorate
"Google Ads, Content Creation, Analytics",13,83298,Mostaganem,Marketing,Business,Bachelor's
"Network Security, Firewalls, SIEM, Forensics, Ethical Hacking",2,183736,Skikda,Cybersecurity,Information Technology,Bachelor's
"Masonry, Plumbing, Safety Procedures, Site Management, Carpentry, Blueprint Reading",5,151361,Ghardaia,Construction,Construction,Doctorate
"Machine Learning, R, Python, Statistics",3,60545,Ghardaia,Data Science,Information Technology,Doctorate
"Spring, C++, Django, SQL",1,182475,Sidi Bel Abbès,Software Engineering,Information Technology,High School
"Phlebotomy, EMR, Medical Terminology, Anatomy, CPR, Patient Care",3,176797,Relizane,Healthcare,Health,No Formal Education
"JavaScript, HTML, React, WordPress, Node.js",10,114809,Blida,Web Development,Information Technology,Bachelor's
"Phlebotomy, Medical Terminology, EMR, Patient Care",1,47510,Chlef,Healthcare,Health,Bachelor's
"Git, Python, Django, Java",12,85261,Biskra,Software Engineering,Information Technology,High School
"Penetration Testing, Firewalls, SIEM",9,119456,Skikda,Cybersecurity,Information Technology,Master's
"Graphic Design, Creativity, UI/UX, Photoshop",5,95856,Mostaganem,Art & Design,Creative,High School
"Budgeting, Financial Analysis, Investment, Excel",5,147077,Skikda,Finance,Business,Master's
"Creativity, Illustrator, Photoshop, Graphic Design, UI/UX",1,71990,Algiers,Art & Design,Creative,Doctorate
"Masonry, Safety Procedures, Plumbing",1,85334,Tlemcen,Construction,Construction,Technical Diploma
"CPR, Phlebotomy, Anatomy",1,74418,Skikda,Healthcare,Health,Doctorate
"3D Modeling, UI/UX, Illustrator, Photoshop",2,141976,Biskra,Art & Design,Creative,No Formal Education
"TensorFlow, Python, R, Pandas",4,119789,Ouargla,Data Science,Information Technology,Technical Diploma
"Google Ads, Copywriting, Social Media",2,81079,Batna,Marketing,Business,Ingénieur
"EMR, Medical Terminology, CPR",2,72158,Algiers,Healthcare,Health,Doctorate
"Linux, Networking, Virtualization, Windows Server, Security",4,95390,Oran,System Administration,Information Technology,Doctorate
"Creativity, Illustrator, UI/UX, Graphic Design, Photoshop",2,89226,Ouargla,Art & Design,Creative,Master's
"Risk Management, Excel, Auditing, Investment, Accounting, Financial Analysis",1,120614,Ouargla,Finance,Business,Bachelor's
"Data Visualization, TensorFlow, Pandas, Machine Learning",1,76756,Skikda,Data Science,Information Technology,Bachelor's
"Case Management, Legal Research, Litigation, Negotiation, Regulatory Compliance",5,152696,Mostaganem,Legal,Legal,Ingénieur
"Case Management, Negotiation, Litigation, Legal Research, Regulatory Compliance",4,102160,Tipaza,Legal,Legal,Bachelor's
"SIEM, Penetration Testing, Network Security, Forensics",2,48125,Blida,Cybersecurity,Information Technology,Master's
"Ethical Hacking, SIEM, Penetration Testing, Network Security, Forensics",7,69605,Ghardaia,Cybersecurity,Information Technology,Bachelor's
"Machine Learning, SQL, Pandas, R, Statistics, TensorFlow",12,116975,Annaba,Data Science,Information Technology,Ingénieur
"Project Management, Blueprint Reading, AutoCAD, SolidWorks, Design, MATLAB",3,59062,Batna,Engineering,Engineering,Master's
"Risk Management, Accounting, Budgeting, Excel, Investment, Financial Analysis",2,87775,Skikda,Finance,Business,Doctorate
"Patient Care, Anatomy, CPR, Phlebotomy, Medical Terminology, EMR",6,159728,Bejaia,Healthcare,Health,High School
"Plumbing, Safety Procedures, Carpentry",1,92174,Biskra,Construction,Construction,Doctorate
"Irrigation, Pest Control, Soil Testing, Tractor Operation",1,123242,M'Sila,Agriculture,Agriculture,Bachelor's
"Spring, JavaScript, SQL, Java, Git",1,145340,Annaba,Software Engineering,Information Technology,High School
"HTML, WordPress, Node.js, Responsive Design, CSS, JavaScript",13,101985,Skikda,Web Development,Information Technology,Technical Diploma
"SIEM, Forensics, Firewalls, Network Security, Ethical Hacking",2,133358,Chlef,Cybersecurity,Information Technology,Doctorate
"Django, REST, C++, JavaScript",1,67540,Setif,Software Engineering,Information Technology,Doctorate
"C++, Python, SQL, Java, Django",7,69060,Tizi Ouzou,Software Engineering,Information Technology,Bachelor's
"Budgeting, Risk Management, Investment, Financial Analysis, Excel",2,113171,Batna,Finance,Business,Ingénieur
"SQL, TensorFlow, Machine Learning, Python, Pandas",3,57375,Mostaganem,Data Science,Information Technology,Master's
"Regulatory Compliance, Negotiation, Legal Research, Litigation, Case Management, Contracts",2,133387,Oran,Legal,Legal,No Formal Education
"Plumbing, Safety Procedures, Blueprint Reading, Carpentry, Masonry",1,49389,Bejaia,Construction,Construction,Doctorate
"Reservation Systems, Event Planning, Food Safety, Customer Service",1,68157,Sidi Bel Abbès,Hospitality,Tourism & Hospitality,High School
"Agro-tech, Pest Control, Tractor Operation",3,86291,Tlemcen,Agriculture,Agriculture,Master's
"Fleet Management, Inventory Management, Warehouse Ops, Supply Chain",10,189937,Algiers,Logistics,Supply Chain,Technical Diploma
"UI/UX, Illustrator, Creativity, Graphic Design",3,109570,Ghardaia,Art & Design,Creative,Doctorate
"Accounting, Budgeting, Excel, Risk Management, Financial Analysis, Investment",3,103860,Bejaia,Finance,Business,Bachelor's
"Photoshop, UI/UX, Illustrator, 3D Modeling, Graphic Design, Creativity",1,51996,M'Sila,Art & Design,Creative,High School
"Negotiation, Cold Calling, Lead Generation, Customer Service",6,60094,Relizane,Sales,Business,No Formal Education
"Git, Python, Django, Spring, REST",3,62329,Setif,Software Engineering,Information Technology,Ingénieur
"Inventory Management, Fleet Management, Supply Chain",11,99596,Constantine,Logistics,Supply Chain,High School
"Crop Management, Pest Control, Tractor Operation, Soil Testing",2,112443,Biskra,Agriculture,Agriculture,High School
"Creativity, Photoshop, Illustrator, UI/UX, Graphic Design, 3D Modeling",5,112468,Oran,Art & Design,Creative,Master's
"Assessment, E-Learning, Mentoring, Teaching, Curriculum Design, Classroom Management",1,68056,Setif,Education,Education,Bachelor's
"Curriculum Design, E-Learning, Assessment, Classroom Management, Teaching, Mentoring",7,163694,Setif,Education,Education,High School
"Penetration Testing, SIEM, Forensics, Ethical Hacking, Firewalls, Network Security",1,71582,Chlef,Cybersecurity,Information Technology,Bachelor's
"Reservation Systems, Front Desk, Food Safety, Customer Service, Event Planning",1,126637,Chlef,Hospitality,Tourism & Hospitality,Bachelor's
"Copywriting, Branding, SEO, Analytics",7,44047,Oran,Marketing,Business,Ingénieur
"UI/UX, Photoshop, 3D Modeling",6,135154,Batna,Art & Design,Creative,Technical Diploma
"Design, AutoCAD, MATLAB, SolidWorks",7,143179,Setif,Engineering,Engineering,No Formal Education
"Branding, Analytics, SEO, Copywriting",10,99772,Chlef,Marketing,Business,Bachelor's
"JavaScript, C++, Spring, Django, REST, Java",14,55589,Skikda,Software Engineering,Information Technology,No Formal Education
"UI/UX, Graphic Design, Illustrator, 3D Modeling, Photoshop, Creativity",3,98883,Ouargla,Art & Design,Creative,Ingénieur
"Plumbing, Blueprint Reading, Safety Procedures, Site Management",15,71944,Ghardaia,Construction,Construction,Bachelor's
"Legal Research, Negotiation, Case Management, Litigation, Contracts",2,60927,Bordj Bou Arreridj,Legal,Legal,Technical Diploma
"Ethical Hacking, Forensics, Network Security, SIEM",4,72083,Skikda,Cybersecurity,Information Technology,Master's
"Content Creation, Google Ads, Branding",4,148998,Ghardaia,Marketing,Business,High School
"JavaScript, Python, SQL, Spring",10,75165,Setif,Software Engineering,Information Technology,Technical Diploma
"CRM, Sales Forecasting, Cold Calling",12,142288,Tipaza,Sales,Business,Bachelor's
"Firewalls, Ethical Hacking, SIEM, Forensics, Penetration Testing",3,72383,Mostaganem,Cybersecurity,Information Technology,Doctorate
"Project Management, AutoCAD, SolidWorks",3,84206,Chlef,Engineering,Engineering,No Formal Education
"Windows Server, Scripting, Networking, Virtualization",2,70059,Bordj Bou Arreridj,System Administration,Information Technology,Master's
"Teaching, Assessment, Mentoring, E-Learning, Curriculum Design, Classroom Management",1,88136,Ghardaia,Education,Education,Technical Diploma
"Content Creation, Analytics, Branding, Copywriting, SEO, Google Ads",7,99374,Ouargla,Marketing,Business,Technical Diploma
"CSS, WordPress, React, Node.js, Responsive Design, JavaScript",1,71362,Tlemcen,Web Development,Information Technology,Ingénieur
"Customer Service, Food Safety, Event Planning, Reservation Systems, Front Desk",1,110106,Biskra,Hospitality,Tourism & Hospitality,Technical Diploma
"Design, Project Management, MATLAB, AutoCAD, Blueprint Reading, SolidWorks",8,46912,Batna,Engineering,Engineering,Doctorate
"Branding, Content Creation, Social Media, SEO, Copywriting, Google Ads",4,76279,Biskra,Marketing,Business,Ingénieur
"Design, Project Management, SolidWorks, AutoCAD, MATLAB",15,148915,Annaba,Engineering,Engineering,Master's
"Cold Calling, Negotiation, Customer Service, CRM",13,56899,Oran,Sales,Business,Technical Diploma
"CPR, Patient Care, Phlebotomy, EMR, Anatomy",1,86805,Tipaza,Healthcare,Health,No Formal Education
"Branding, Analytics, Content Creation, Social Media",1,67573,Tizi Ouzou,Marketing,Business,Master's
"Windows Server, Virtualization, Networking, Security",2,133905,Biskra,System Administration,Information Technology,Doctorate
"Negotiation, Cold Calling, CRM, Lead Generation, Sales Forecasting",1,184242,Ghardaia,Sales,Business,No Formal Education
"CRM, Lead Generation, Cold Calling, Negotiation, Customer Service",1,83589,Setif,Sales,Business,Doctorate
"Illustrator, Creativity, 3D Modeling, UI/UX",3,166333,Ouargla,Art & Design,Creative,Technical Diploma
"Food Safety, Reservation Systems, Event Planning, Customer Service",8,100615,Skikda,Hospitality,Tourism & Hospitality,Master's
"Networking, Windows Server, Security, Virtualization, Linux, Scripting",2,40630,Sidi Bel Abbès,System Administration,Information Technology,Master's
"Cold Calling, Sales Forecasting, Lead Generation",2,42968,Ghardaia,Sales,Business,Bachelor's
"Reservation Systems, Front Desk, Food Safety, Customer Service",6,99046,Bejaia,Hospitality,Tourism & Hospitality,Technical Diploma
"Supply Chain, Fleet Management, Inventory Management",2,59958,Ouargla,Logistics,Supply Chain,Ingénieur
"Carpentry, Safety Procedures, Blueprint Reading, Masonry",4,78777,Algiers,Construction,Construction,Ingénieur
"Phlebotomy, Anatomy, Medical Terminology, EMR, Patient Care",2,93108,Oran,Healthcare,Health,Master's
"WordPress, HTML, JavaScript, React, CSS, Responsive Design",1,113185,Bejaia,Web Development,Information Technology,Doctorate
"Mentoring, Classroom Management, E-Learning, Assessment",1,81529,M'Sila,Education,Education,Doctorate
"Design, SolidWorks, Project Management, Blueprint Reading, AutoCAD",6,52446,Chlef,Engineering,Engineering,No Formal Education
"Photoshop, UI/UX, Graphic Design",7,161924,Ghardaia,Art & Design,Creative,No Formal Education
"Customer Service, Lead Generation, Negotiation, Cold Calling, CRM",1,56657,Algiers,Sales,Business,No Formal Education
"Anatomy, Phlebotomy, Patient Care",1,78960,Tipaza,Healthcare,Health,Ingénieur
"React, WordPress, JavaScript, Responsive Design, CSS, HTML",10,76992,Tlemcen,Web Development,Information Technology,High School
"React, HTML, Node.js, JavaScript",5,128419,Tipaza,Web Development,Information Technology,High School
"EMR, CPR, Patient Care",2,99180,Bejaia,Healthcare,Health,Ingénieur
"Illustrator, 3D Modeling, Photoshop, Creativity, Graphic Design, UI/UX",7,146803,Tipaza,Art & Design,Creative,Ingénieur
"EMR, Phlebotomy, CPR, Anatomy, Medical Terminology",3,117416,Ouargla,Healthcare,Health,Doctorate
"Plumbing, Masonry, Blueprint Reading",1,83176,Skikda,Construction,Construction,Master's
"Medical Terminology, Phlebotomy, Anatomy",14,77377,Sidi Bel Abbès,Healthcare,Health,Doctorate
"Case Management, Negotiation, Legal Research, Contracts, Regulatory Compliance, Litigation",5,76452,Annaba,Legal,Legal,High School
"Creativity, 3D Modeling, Photoshop, Graphic Design, UI/UX",6,131296,Annaba,Art & Design,Creative,Technical Diploma
"CSS, Responsive Design, HTML, WordPress",1,85050,Tizi Ouzou,Web Development,Information Technology,Master's
"Linux, Security, Networking, Windows Server, Virtualization",1,100236,Algiers,System Administration,Information Technology,Technical Diploma
"Blueprint Reading, Site Management, Plumbing",14,69107,Tlemcen,Construction,Construction,Bachelor's
"Virtualization, Windows Server, Networking, Scripting, Linux, Security",3,100523,Ouargla,System Administration,Information Technology,Technical Diploma
"Food Safety, Front Desk, Event Planning",13,177408,Oran,Hospitality,Tourism & Hospitality,Master's
"Node.js, WordPress, Responsive Design, React, HTML",2,80646,Blida,Web Development,Information Technology,Doctorate
"MATLAB, Blueprint Reading, Design, Project Management, SolidWorks",2,144956,Oran,Engineering,Engineering,No Formal Education
"Soil Testing, Irrigation, Tractor Operation, Crop Management, Agro-tech, Pest Control",1,73653,Relizane,Agriculture,Agriculture,Master's
"Spring, C++, Java, Git",6,52049,Chlef,Software Engineering,Information Technology,Bachelor's
"Legal Research, Contracts, Litigation, Negotiation, Case Management",1,110541,M'Sila,Legal,Legal,No Formal Education
"SQL, Git, Python",4,68053,Bordj Bou Arreridj,Software Engineering,Information Technology,Bachelor's
"Phlebotomy, CPR, Medical Terminology, Anatomy, Patient Care",3,121337,Biskra,Healthcare,Health,No Formal Education
"Site Management, Carpentry, Plumbing, Masonry",2,65568,Sidi Bel Abbès,Construction,Construction,Master's
"Branding, Social Media, Content Creation, Copywriting, SEO, Google Ads",6,55271,Biskra,Marketing,Business,Technical Diploma
"Reservation Systems, Customer Service, Front Desk",14,57203,Batna,Hospitality,Tourism & Hospitality,Bachelor's
"MATLAB, Design, SolidWorks, Project Management, AutoCAD",2,127565,Sidi Bel Abbès,Engineering,Engineering,Master's
"Social Media, Content Creation, Copywriting, Branding, SEO, Google Ads",6,67981,Algiers,Marketing,Business,Doctorate
"Excel, Auditing, Investment",14,110980,Constantine,Finance,Business,Master's
"Windows Server, Virtualization, Scripting, Networking, Linux",1,106861,Setif,System Administration,Information Technology,Master's
"Pest Control, Irrigation, Agro-tech, Tractor Operation",8,128235,Relizane,Agriculture,Agriculture,High School
"Linux, Virtualization, Windows Server",5,52792,Batna,System Administration,Information Technology,Technical Diploma
"WordPress, CSS, Responsive Design, JavaScript, HTML",10,118857,Relizane,Web Development,Information Technology,Bachelor's
"Ethical Hacking, SIEM, Firewalls, Penetration Testing, Forensics",1,59168,Setif,Cybersecurity,Information Technology,Doctorate
"Irrigation, Pest Control, Soil Testing, Crop Management, Tractor Operation, Agro-tech",4,119754,Mostaganem,Agriculture,Agriculture,Ingénieur
"Graphic Design, Creativity, 3D Modeling, UI/UX, Photoshop, Illustrator",1,59026,Ouargla,Art & Design,Creative,Master's
"Event Planning, Food Safety, Reservation Systems",6,51802,Bordj Bou Arreridj,Hospitality,Tourism & Hospitality,High School
"Safety Procedures, Plumbing, Masonry, Carpentry, Site Management, Blueprint Reading",1,172790,Setif,Construction,Construction,No Formal Education
"Assessment, Classroom Management, Mentoring, Curriculum Design, E-Learning, Teaching",13,43105,Setif,Education,Education,No Formal Education
"Creativity, Graphic Design, Photoshop, 3D Modeling, Illustrator",1,110461,Constantine,Art & Design,Creative,Ingénieur
"Creativity, Photoshop, 3D Modeling, Illustrator, UI/UX, Graphic Design",13,66084,Relizane,Art & Design,Creative,Master's
"Case Management, Legal Research, Regulatory Compliance, Litigation",1,174142,Algiers,Legal,Legal,High School
"CSS, HTML, WordPress",7,67679,Relizane,Web Development,Information Technology,No Formal Education
"REST, Django, Spring, SQL, JavaScript, C++",5,70769,Tipaza,Software Engineering,Information Technology,Technical Diploma
"Python, R, Statistics",8,60488,Constantine,Data Science,Information Technology,No Formal Education
"Social Media, Analytics, SEO",3,41856,Bejaia,Marketing,Business,No Formal Education
"AutoCAD, MATLAB, SolidWorks, Blueprint Reading",4,148134,Biskra,Engineering,Engineering,Technical Diploma
"Network Security, Penetration Testing, Firewalls",6,120242,Tipaza,Cybersecurity,Information Technology,Master's
"Front Desk, Event Planning, Reservation Systems, Customer Service, Food Safety",11,192375,Ghardaia,Hospitality,Tourism & Hospitality,Technical Diploma
"Negotiation, CRM, Sales Forecasting, Cold Calling, Customer Service",5,100995,M'Sila,Sales,Business,High School
"Ethical Hacking, Penetration Testing, Firewalls, Forensics, SIEM, Network Security",2,107326,Tipaza,Cybersecurity,Information Technology,Technical Diploma
"Case Management, Legal Research, Regulatory Compliance, Litigation, Negotiation, Contracts",2,90011,Biskra,Legal,Legal,Bachelor's
"Virtualization, Linux, Scripting",9,137307,Ghardaia,System Administration,Information Technology,Doctorate
"CRM, Cold Calling, Negotiation, Lead Generation, Sales Forecasting",1,121408,Batna,Sales,Business,Master's
"R, Statistics, Pandas, Machine Learning, Python, Data Visualization",11,167301,Bejaia,Data Science,Information Technology,Master's
"Creativity, Illustrator, UI/UX, 3D Modeling",1,80043,Relizane,Art & Design,Creative,Bachelor's
"Curriculum Design, Mentoring, Teaching, E-Learning",1,97640,Setif,Education,Education,Technical Diploma
"Anatomy, Patient Care, Medical Terminology, Phlebotomy",3,126945,Algiers,Healthcare,Health,Master's
"Python, REST, JavaScript, Django",1,104959,Bejaia,Software Engineering,Information Technology,High School
"Teaching, Classroom Management, Assessment",5,40545,Sidi Bel Abbès,Education,Education,Master's
"Assessment, Curriculum Design, Teaching, Mentoring, E-Learning",1,60732,Tlemcen,Education,Education,No Formal Education
"Negotiation, Sales Forecasting, CRM, Lead Generation, Customer Service, Cold Calling",2,139202,Sidi Bel Abbès,Sales,Business,Ingénieur
"Pandas, Statistics, Machine Learning, R, Data Visualization, Python",6,127746,Algiers,Data Science,Information Technology,No Formal Education
"Sales Forecasting, Negotiation, Cold Calling, Customer Service, CRM",4,40280,Tizi Ouzou,Sales,Business,Bachelor's
"Lead Generation, Cold Calling, CRM, Negotiation",8,103347,Skikda,Sales,Business,No Formal Education
"Agro-tech, Crop Management, Tractor Operation, Irrigation",1,92648,Ouargla,Agriculture,Agriculture,Master's
"Social Media, SEO, Google Ads, Branding",1,130598,Sidi Bel Abbès,Marketing,Business,No Formal Education
"Event Planning, Front Desk, Customer Service",4,61000,Chlef,Hospitality,Tourism & Hospitality,Technical Diploma
"Regulatory Compliance, Litigation, Legal Research, Contracts",1,65229,Blida,Legal,Legal,Master's
"Security, Networking, Scripting, Virtualization, Linux, Windows Server",1,128715,Sidi Bel Abbès,System Administration,Information Technology,Master's
"Project Management, AutoCAD, Blueprint Reading, Design, SolidWorks, MATLAB",1,89474,Algiers,Engineering,Engineering,Bachelor's
"CPR, Medical Terminology, Anatomy",1,72522,Annaba,Healthcare,Health,Master's
"Risk Management, Accounting, Auditing, Excel, Investment",7,148298,M'Sila,Finance,Business,Ingénieur
"Curriculum Design, E-Learning, Mentoring, Assessment, Teaching, Classroom Management",3,167305,M'Sila,Education,Education,Technical Diploma
"Excel, Budgeting, Auditing, Financial Analysis",1,79183,Relizane,Finance,Business,No Formal Education
"Design, MATLAB, AutoCAD, Project Management, Blueprint Reading, SolidWorks",4,62233,Ouargla,Engineering,Engineering,Doctorate
"Financial Analysis, Excel, Budgeting, Auditing",5,71594,Chlef,Finance,Business,No Formal Education
"Photoshop, Creativity, Graphic Design, UI/UX, 3D Modeling, Illustrator",2,105068,Sidi Bel Abbès,Art & Design,Creative,Master's
"Accounting, Budgeting, Excel, Investment",4,98110,Ghardaia,Finance,Business,High School
"Pest Control, Soil Testing, Irrigation, Crop Management",3,79474,Batna,Agriculture,Agriculture,Master's
"Legal Research, Contracts, Regulatory Compliance, Litigation",5,113053,Blida,Legal,Legal,No Formal Education
"Copywriting, Social Media, Branding, Google Ads",3,151209,Blida,Marketing,Business,High School
"Mentoring, Classroom Management, Curriculum Design, E-Learning",10,61410,Bejaia,Education,Education,Bachelor's
"Lead Generation, Customer Service, Cold Calling, CRM, Negotiation, Sales Forecasting",1,78560,Tipaza,Sales,Business,High School
"Windows Server, Scripting, Linux, Networking, Security",2,142301,M'Sila,System Administration,Information Technology,High School
"React, Responsive Design, HTML, WordPress, CSS, Node.js",1,56092,Algiers,Web Development,Information Technology,Bachelor's
"SolidWorks, AutoCAD, Blueprint Reading, Design",10,128057,Setif,Engineering,Engineering,No Formal Education
"Assessment, Mentoring, Teaching",5,45401,Algiers,Education,Education,High School
"Content Creation, Social Media, Copywriting, SEO",3,117597,Bordj Bou Arreridj,Marketing,Business,Doctorate
"SEO, Social Media, Copywriting, Branding, Analytics, Google Ads",7,91888,Oran,Marketing,Business,Doctorate
"Inventory Management, Supply Chain, Fleet Management, Routing, Warehouse Ops",4,107821,Bordj Bou Arreridj,Logistics,Supply Chain,Master's
"Content Creation, Social Media, SEO, Copywriting",1,122330,Oran,Marketing,Business,Doctorate
"Classroom Management, Assessment, E-Learning",10,84632,Oran,Education,Education,Doctorate
"Windows Server, Security, Linux, Scripting, Virtualization, Networking",15,73969,Relizane,System Administration,Information Technology,No Formal Education
"Safety Procedures, Plumbing, Blueprint Reading, Site Management, Carpentry",1,86850,Skikda,Construction,Construction,Master's
"Accounting, Financial Analysis, Budgeting, Investment, Auditing",3,56918,Bejaia,Finance,Business,High School
"Pest Control, Soil Testing, Irrigation, Tractor Operation, Crop Management, Agro-tech",11,98894,Ghardaia,Agriculture,Agriculture,High School
"SolidWorks, Design, AutoCAD, MATLAB, Blueprint Reading, Project Management",12,54618,Chlef,Engineering,Engineering,Ingénieur
"Security, Linux, Networking, Windows Server, Scripting, Virtualization",11,79576,Batna,System Administration,Information Technology,Bachelor's
"Google Ads, SEO, Social Media, Content Creation, Copywriting, Branding",4,162525,Mostaganem,Marketing,Business,Doctorate
"Graphic Design, Photoshop, 3D Modeling",4,88604,Annaba,Art & Design,Creative,Master's
"SEO, Copywriting, Social Media",9,64862,Tipaza,Marketing,Business,Doctorate
"Classroom Management, Mentoring, E-Learning, Assessment, Curriculum Design",9,168896,Biskra,Education,Education,No Formal Education
"Assessment, E-Learning, Mentoring, Classroom Management, Curriculum Design, Teaching",2,109538,Sidi Bel Abbès,Education,Education,Ingénieur
"Safety Procedures, Carpentry, Plumbing",3,97163,Tlemcen,Construction,Construction,No Formal Education
"Google Ads, Copywriting, Content Creation",1,161820,Bordj Bou Arreridj,Marketing,Business,Ingénieur
"Teaching, Curriculum Design, E-Learning, Assessment, Classroom Management",2,53470,Setif,Education,Education,Ingénieur
