job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,benefits,technical_skills,experience_min_req,experience_max_req,edu_value,language_proficiency,education_requirement_std,salary
Team Leader,General Management,2025-04-18,2025-05-06,2025-06-05,Retail,Batna,Ingénieur d'État,19,CDI,4,"Tickets restaurant, Télétravail partiel, Épargne entreprise","Team Leadership, Project Management, French Bilingual, Microsoft Office, Report Writing",2,5,19,"Arabic, French",Ingénieur d'État,39400.0
Operations Manager,Operations,2025-04-06,2025-05-21,2025-06-20,Retail,Blida,Ingénieur d'État,19,Freelance,7,"Télétravail partiel, Crèche d'entreprise, Voiture de fonction","French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",1,11,19,"Arabic, French",Ingénieur d'État,43800.0
Chief Accountant,Accounting & Auditing,2025-03-28,2025-04-22,2025-05-22,Banking & Finance,Naama,Master,17,Alternance,10,"Voiture de fonction, Prime de performance, Assurance maladie","Microsoft Office, Project Management, French Bilingual, Team Leadership, Report Writing",0,10,17,"Arabic, French",Master,58800.0
Production Supervisor,Operations,2025-04-18,2025-05-31,2025-06-30,Tourism & Hospitality,Ouargla,Bac,12,CDI,5,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise","Team Leadership, Report Writing, Project Management, French Bilingual, Microsoft Office",1,4,12,"Arabic, French",Baccalaureate,37600.0
Supply Chain Manager,Operations,2025-04-06,2025-05-12,2025-06-11,Telecommunications,Tiaret,Bac,12,CDD,10,"Prime de performance, Tickets restaurant, Formation continue","French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",3,14,12,"Arabic, French",Baccalaureate,48100.0
Logistics Coordinator,Operations,2025-04-14,2025-04-24,2025-05-24,Construction,Chlef,Master,17,Freelance,7,"Prime de performance, Formation continue, Voiture de fonction","Team Leadership, French Bilingual, Project Management, Microsoft Office, Report Writing",4,12,17,"Arabic, French",Master,79400.0
Operations Manager,General Management,2025-04-02,2025-04-23,2025-05-23,Mining,Batna,Licence,15,Freelance,9,"Crèche d'entreprise, Assurance maladie, Tickets restaurant","Team Leadership, Project Management, French Bilingual, Report Writing, Microsoft Office",1,10,15,"Arabic, French",License,51500.0
Logistics Coordinator,Operations,2025-04-22,2025-05-11,2025-06-10,Fisheries,Béjaïa,Licence,15,Alternance,8,"Voiture de fonction, Assurance maladie, Tickets restaurant","Microsoft Office, French Bilingual, Report Writing, Team Leadership, Project Management",3,15,15,"Arabic, French",License,58800.0
Operations Manager,Operations,2025-04-19,2025-06-18,2025-07-18,Public Sector,Mostaganem,Doctorat,20,Freelance,10,"Épargne entreprise, Prime de performance, Crèche d'entreprise","Project Management, French Bilingual, Report Writing, Team Leadership, Microsoft Office",4,3,20,"Arabic, French",Doctorat,39400.0
Facilities Manager,Operations,2025-04-16,2025-05-24,2025-06-23,Retail,Oran,Ingénieur d'État,19,Freelance,9,"Voiture de fonction, Assurance maladie, Formation continue","Team Leadership, Report Writing, Microsoft Office, Project Management, French Bilingual",1,12,19,"Arabic, French",Ingénieur d'État,44600.0
Facilities Manager,Operations,2025-04-19,2025-05-05,2025-06-04,Transport & Logistics,Tamanrasset,Master,17,Stage,1,"Assurance maladie, Télétravail partiel, Formation continue","French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",2,3,17,"Arabic, French",Master,52700.0
Administrative Manager,General Management,2025-04-16,2025-05-10,2025-06-09,Construction,Tizi Ouzou,Master,17,Freelance,12,"Voiture de fonction, Assurance maladie, Tickets restaurant","Team Leadership, Project Management, French Bilingual, Report Writing, Microsoft Office",1,15,17,"Arabic, French",Master,79400.0
Team Leader,General Management,2025-04-19,2025-05-26,2025-06-25,Mining,Jijel,Bac,12,CDD,5,"Prime de performance, Épargne entreprise, Crèche d'entreprise","French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",1,3,12,"Arabic, French",Baccalaureate,36800.0
Production Supervisor,Operations,2025-04-10,2025-04-22,2025-05-22,Telecommunications,Laghouat,Licence,15,Alternance,3,"Crèche d'entreprise, Tickets restaurant, Télétravail partiel","Report Writing, Microsoft Office, French Bilingual, Project Management, Team Leadership",1,11,15,"Arabic, French",License,52500.0
Supply Chain Manager,Operations,2025-04-14,2025-04-29,2025-05-29,Pharmaceuticals,Tizi Ouzou,Master,17,Freelance,9,"Formation continue, Voiture de fonction, Épargne entreprise","Project Management, Microsoft Office, French Bilingual, Report Writing, Team Leadership",0,12,17,"Arabic, French",Master,61200.0
Department Director,General Management,2025-03-31,2025-05-08,2025-06-07,Telecommunications,Tiaret,Licence,15,CDI,8,"Prime de performance, Crèche d'entreprise, Formation continue","French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",3,8,15,"Arabic, French",License,51500.0
Project Manager,General Management,2025-04-21,2025-05-31,2025-06-30,Retail,Laghouat,Licence,15,Alternance,13,"Prime de performance, Assurance maladie, Télétravail partiel","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",4,6,15,"Arabic, French",License,50400.0
AI Researcher,Data Science & AI,2025-04-19,2025-06-04,2025-07-04,Information Technology,Blida,Ingénieur d'État,19,Stage,12,"Épargne entreprise, Assurance maladie, Prime de performance","Project Management, Report Writing, Microsoft Office, Team Leadership, French Bilingual",1,12,19,"Arabic, French",Ingénieur d'État,44600.0
Project Manager,General Management,2025-03-30,2025-05-16,2025-06-15,Aerospace & Defense,Aïn Témouchent,Doctorat,20,Alternance,2,"Télétravail partiel, Épargne entreprise, Voiture de fonction","Team Leadership, Microsoft Office, Report Writing, French Bilingual, Project Management",2,11,20,"Arabic, French",Doctorat,44600.0
General Director,General Management,2025-04-04,2025-04-20,2025-05-20,Transport & Logistics,Skikda,Licence,15,Alternance,4,"Voiture de fonction, Assurance maladie, Épargne entreprise","Project Management, Report Writing, French Bilingual, Team Leadership, Microsoft Office",1,8,15,"Arabic, French",License,49400.0
Operations Manager,General Management,2025-04-22,2025-06-13,2025-07-13,Transport & Logistics,Constantine,Licence,15,Alternance,7,"Voiture de fonction, Épargne entreprise, Formation continue","Microsoft Office, Project Management, French Bilingual, Report Writing, Team Leadership",0,9,15,"Arabic, French",License,49400.0
Medical Records Manager,Hospital Administration,2025-03-30,2025-05-10,2025-06-09,Healthcare,Tindouf,Master,17,CDI,2,"Prime de performance, Voiture de fonction, Formation continue","Microsoft Office, Report Writing, French Bilingual, Team Leadership, Project Management",0,11,17,"Arabic, French",Master,77200.0
Operations Manager,Operations,2025-04-06,2025-05-23,2025-06-22,Transport & Logistics,Adrar,Ingénieur d'État,19,CDD,8,"Épargne entreprise, Voiture de fonction, Crèche d'entreprise","Report Writing, Project Management, Team Leadership, French Bilingual, Microsoft Office",1,12,19,"Arabic, French",Ingénieur d'État,44600.0
Mobile UX Designer,Mobile Development,2025-03-28,2025-05-04,2025-06-03,Information Technology,Tamanrasset,Master,17,Freelance,1,"Voiture de fonction, Tickets restaurant, Assurance maladie","Team Leadership, Report Writing, Project Management, French Bilingual, Microsoft Office",5,9,17,"Arabic, French",Master,63700.0
Operations Manager,Operations,2025-04-14,2025-05-09,2025-06-08,Renewable Energy,Tlemcen,Licence,15,Stage,12,"Crèche d'entreprise, Voiture de fonction, Formation continue","Project Management, Team Leadership, French Bilingual, Microsoft Office, Report Writing",4,12,15,"Arabic, French",License,56700.0
Production Supervisor,Operations,2025-04-05,2025-05-26,2025-06-25,Telecommunications,Sétif,Doctorat,20,Stage,15,"Formation continue, Assurance maladie, Épargne entreprise","Team Leadership, Microsoft Office, Project Management, Report Writing, French Bilingual",3,12,20,"Arabic, French",Doctorat,46400.0
Department Director,General Management,2025-04-14,2025-06-05,2025-07-05,Mining,Saïda,Master,17,Stage,8,"Assurance maladie, Prime de performance, Télétravail partiel","Project Management, Report Writing, Microsoft Office, French Bilingual, Team Leadership",2,9,17,"Arabic, French",Master,60000.0
Security Consultant,Cybersecurity,2025-04-11,2025-05-29,2025-06-28,Information Technology,Ghardaïa,Bac,12,Freelance,14,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise","GDPR Compliance, Network Security, SOC Operations, SIEM Tools, Incident Response, Ethical Hacking, Cryptography, Firewall Configuration",3,10,12,"Arabic, French",Baccalaureate,44600.0
Agronomist,Agronomy Research,2025-04-07,2025-05-15,2025-06-14,Agriculture,Naama,Licence,15,Stage,2,"Assurance maladie, Crèche d'entreprise, Épargne entreprise","Project Management, Team Leadership, French Bilingual, Report Writing, Microsoft Office",4,5,15,"Arabic, French",License,49400.0
Administrative Manager,General Management,2025-03-27,2025-04-30,2025-05-30,Renewable Energy,El Tarf,Bac,12,CDD,13,"Assurance maladie, Télétravail partiel, Prime de performance","Report Writing, Project Management, Microsoft Office, Team Leadership, French Bilingual",5,13,12,"Arabic, French",Baccalaureate,49000.0
Mud Engineer,Drilling Operations,2025-04-24,2025-06-11,2025-07-11,Energy & Petroleum,Béjaïa,Bac,12,CDI,8,"Prime de performance, Télétravail partiel, Épargne entreprise","Project Management, Report Writing, Microsoft Office, Team Leadership, French Bilingual",5,13,12,"Arabic, French",Baccalaureate,84000.0
Operations Manager,General Management,2025-04-06,2025-05-13,2025-06-12,Tourism & Hospitality,In Salah,Ingénieur d'État,19,Stage,14,"Prime de performance, Télétravail partiel, Formation continue","Microsoft Office, Project Management, Report Writing, Team Leadership, French Bilingual",2,5,19,"Arabic, French",Ingénieur d'État,39400.0
Operations Manager,Operations,2025-04-15,2025-05-19,2025-06-18,Media & Entertainment,Skikda,Master,17,Freelance,2,"Télétravail partiel, Crèche d'entreprise, Prime de performance","Project Management, Microsoft Office, Report Writing, Team Leadership, French Bilingual",2,7,17,"Arabic, French, English",Master,74000.0
Academic Coordinator,Higher Education,2025-04-15,2025-05-09,2025-06-08,Education,Tindouf,Licence,15,CDD,3,"Crèche d'entreprise, Assurance maladie, Formation continue","Report Writing, Team Leadership, Project Management, French Bilingual, Microsoft Office",0,5,15,"Arabic, French",License,38700.0
IT Support Specialist,IT Support,2025-04-20,2025-06-14,2025-07-14,Information Technology,Skikda,Ingénieur d'État,19,CDD,6,"Assurance maladie, Formation continue, Voiture de fonction","Project Management, Team Leadership, Microsoft Office, French Bilingual, Report Writing",5,6,19,"Arabic, French",Ingénieur d'État,42900.0
Operations Manager,Operations,2025-04-23,2025-06-03,2025-07-03,Public Sector,Jijel,Doctorat,20,Stage,7,"Épargne entreprise, Prime de performance, Tickets restaurant","Report Writing, Project Management, Microsoft Office, French Bilingual, Team Leadership",5,9,20,"Arabic, French",Doctorat,45500.0
Department Director,General Management,2025-04-24,2025-05-27,2025-06-26,Aerospace & Defense,Tébessa,Doctorat,20,CDD,9,"Assurance maladie, Tickets restaurant, Formation continue","Microsoft Office, French Bilingual, Project Management, Team Leadership, Report Writing",2,8,20,"Arabic, French",Doctorat,42000.0
Clinical Trial Manager,Medical Research,2025-04-07,2025-05-20,2025-06-19,Healthcare,Saïda,Bac,12,Alternance,9,"Télétravail partiel, Épargne entreprise, Formation continue","Research Ethics, Medical Writing, Laboratory Management, Epidemiology, Clinical Trials, Biostatistics, Regulatory Affairs",4,11,12,"Arabic, French",Baccalaureate,59600.0
Security Consultant,Cybersecurity,2025-04-16,2025-05-20,2025-06-19,Information Technology,Tlemcen,Ingénieur d'État,19,CDD,13,"Assurance maladie, Formation continue, Épargne entreprise","SOC Operations, Firewall Configuration, Network Security, Incident Response, Cryptography, GDPR Compliance, SIEM Tools, Ethical Hacking",3,3,19,"Arabic, French",Ingénieur d'État,38500.0
Operations Manager,General Management,2025-04-04,2025-05-18,2025-06-17,Renewable Energy,Laghouat,Bac,12,CDD,7,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise","French Bilingual, Microsoft Office, Team Leadership, Report Writing, Project Management",0,4,12,"Arabic, French",Baccalaureate,36800.0
Logistics Coordinator,Operations,2025-04-11,2025-05-02,2025-06-01,Public Sector,Jijel,Bac,12,Freelance,4,"Télétravail partiel, Voiture de fonction, Tickets restaurant","Team Leadership, Microsoft Office, Report Writing, Project Management, French Bilingual",0,15,12,"Arabic, French",Baccalaureate,46400.0
Organic Farm Manager,Sustainable Farming,2025-04-14,2025-05-15,2025-06-14,Agriculture,Jijel,Licence,15,CDI,10,"Tickets restaurant, Formation continue, Assurance maladie","Agroecology, Precision Agriculture, Soil Health Management, Water Conservation, Permaculture Design, Organic Certification",3,5,15,"Arabic, French",License,48300.0
General Director,General Management,2025-04-21,2025-06-11,2025-07-11,Aerospace & Defense,Annaba,Ingénieur d'État,19,Stage,4,"Crèche d'entreprise, Télétravail partiel, Formation continue","French Bilingual, Report Writing, Project Management, Microsoft Office, Team Leadership",5,4,19,"Arabic, French",Ingénieur d'État,41100.0
Department Director,General Management,2025-04-16,2025-06-15,2025-07-15,Tourism & Hospitality,Béjaïa,Licence,15,Stage,8,"Formation continue, Prime de performance, Épargne entreprise","Project Management, Team Leadership, Report Writing, Microsoft Office, French Bilingual",2,9,15,"Arabic, French",License,51500.0
Grant Writer,Research & Development,2025-04-22,2025-06-07,2025-07-07,Education,Tindouf,Licence,15,CDD,15,"Assurance maladie, Épargne entreprise, Voiture de fonction","Team Leadership, Microsoft Office, French Bilingual, Report Writing, Project Management",1,3,15,"Arabic, French",License,37800.0
Team Leader,General Management,2025-04-19,2025-04-29,2025-05-29,E-Commerce,In Salah,Doctorat,20,CDD,7,"Voiture de fonction, Prime de performance, Crèche d'entreprise","Team Leadership, Report Writing, Microsoft Office, French Bilingual, Project Management",1,8,20,"Arabic, French, English",Doctorat,64600.0
General Director,General Management,2025-04-10,2025-06-01,2025-07-01,Retail,Algiers,Master,17,Stage,5,"Tickets restaurant, Télétravail partiel, Prime de performance","Project Management, French Bilingual, Report Writing, Team Leadership, Microsoft Office",1,14,17,"Arabic, French",Master,64900.0
Operations Manager,General Management,2025-04-13,2025-05-17,2025-06-16,Aerospace & Defense,Jijel,Ingénieur d'État,19,Freelance,8,"Tickets restaurant, Formation continue, Voiture de fonction","French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",0,9,19,"Arabic, French",Ingénieur d'État,41100.0
Team Leader,General Management,2025-04-21,2025-06-03,2025-07-03,Mining,Blida,Licence,15,Stage,2,"Voiture de fonction, Télétravail partiel, Assurance maladie","Report Writing, Team Leadership, Microsoft Office, French Bilingual, Project Management",2,12,15,"Arabic, French",License,54600.0
Facilities Manager,Operations,2025-04-02,2025-04-20,2025-05-20,Telecommunications,Béjaïa,Master,17,Freelance,5,"Crèche d'entreprise, Épargne entreprise, Formation continue","French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",5,6,17,"Arabic, French",Master,60000.0
Shariah Compliance Officer,Islamic Finance,2025-03-31,2025-04-08,2025-05-08,Banking & Finance,Constantine,Ingénieur d'État,19,CDD,13,"Télétravail partiel, Assurance maladie, Tickets restaurant","Sharia Compliance, Murabaha Transactions, Risk Sharing Models, Takaful Operations, Sukuk Structuring, Islamic Banking Products",4,10,19,"Arabic, French",Ingénieur d'État,45500.0
Team Leader,General Management,2025-04-10,2025-06-03,2025-07-03,Construction,Béjaïa,Bac,12,Alternance,10,"Télétravail partiel, Tickets restaurant, Crèche d'entreprise","Microsoft Office, Team Leadership, Report Writing, French Bilingual, Project Management",2,14,12,"Arabic, French",Baccalaureate,56700.0
Operations Manager,General Management,2025-04-07,2025-05-11,2025-06-10,Media & Entertainment,El Tarf,Master,17,Alternance,10,"Tickets restaurant, Télétravail partiel, Formation continue","Report Writing, Microsoft Office, French Bilingual, Team Leadership, Project Management",5,11,17,"Arabic, French, English",Master,85000.0
Production Supervisor,Food Processing,2025-04-05,2025-04-21,2025-05-21,Agriculture,Tizi Ouzou,Licence,15,Stage,7,"Voiture de fonction, Assurance maladie, Télétravail partiel","Microsoft Office, Project Management, French Bilingual, Report Writing, Team Leadership",5,5,15,"Arabic, French",License,50400.0
Quality Control Analyst,Pharmaceutical Development,2025-04-20,2025-06-11,2025-07-11,Healthcare,Constantine,Doctorat,20,Stage,2,"Crèche d'entreprise, Assurance maladie, Formation continue","French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",1,11,20,"Arabic, French",Doctorat,56200.0
Operations Manager,General Management,2025-04-23,2025-06-21,2025-07-21,Telecommunications,Tlemcen,Ingénieur d'État,19,CDI,9,"Télétravail partiel, Formation continue, Voiture de fonction","French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",2,5,19,"Arabic, French",Ingénieur d'État,39400.0
