job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Project Manager,Leclerc EURL,Medical Research,Lead,2025-03-28,2025-04-04,2025-05-04,Healthcare,Mostaganem,Master,15,Alternance,2,Regard sourire vague trop libre lier. Imaginer profond vêtir. Côte tombe lien roi madame. Brusquement aider rond garçon convenir embrasser égal. Causer vers beaucoup vague secours.,"Formation continue, Épargne entreprise, Prime de performance",126000,"Regulatory Affairs, Research Ethics, Epidemiology, Medical Writing, Biostatistics, Laboratory Management, Clinical Trials",5,14
General Director,Normand SA SPA,Research & Development,Lead,2025-04-22,2025-06-04,2025-07-04,Education,In Salah,Bac,13,Stage,5,Drame ici casser passion frapper rose auquel. Appel intérieur centre ouvert. Flamme sommet déjà marier juger oh professeur. Bruit lui bas calmer. Me présence intéresser.,"Assurance maladie, Tickets restaurant, Formation continue",56000,"Report Writing, Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual",5,5
Logistics Coordinator,Lamy Hebert S.A. SPA,Operations,Senior,2025-04-14,2025-06-02,2025-07-02,Fisheries,Laghouat,Bac,16,Alternance,6,Tâche du raison encore conseil. Seigneur entrer principe réalité dormir vêtir loup. Habiller monsieur fauteuil droit. Cacher trois fatiguer retenir armée le quelque.,"Voiture de fonction, Prime de performance, Épargne entreprise",93000,"Report Writing, Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership",1,8
Logistics Coordinator,Albert SA SARL,Operations,Chief,2025-04-06,2025-05-24,2025-06-23,Mining,Béjaïa,Doctorat,13,CDI,4,Lutter madame coeur. Oublier ferme attacher chant ministre gauche. Risquer soudain dix.,"Télétravail partiel, Voiture de fonction, Épargne entreprise",91000,"Microsoft Office, Report Writing, Team Leadership, Arabic/French Bilingual, Project Management",1,12
Supply Chain Manager,Briand EURL,Operations,Senior,2025-03-26,2025-04-28,2025-05-28,Media & Entertainment,El Tarf,Ingénieur d'État,13,Freelance,13,Poursuivre visible heureux être forcer. Droite vert or suivre devoir. Charger arbre exprimer parler étonner. Ensuite sourire effacer jeter ainsi naissance.,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise",141000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership, Project Management",4,6
Production Supervisor,Cohen SA SPA,Operations,Senior,2025-04-24,2025-06-19,2025-07-19,Public Sector,Jijel,Bac,14,CDI,10,Inspirer forêt travers. Île blanc table ce poète. Briser coin chanter élever nuit trace éteindre malheur. Afin De haine espace mer compte. Suite glace jaune révolution révéler expression tempête. Prison loin découvrir ressembler.,"Voiture de fonction, Assurance maladie, Formation continue",29000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",2,14
Administrative Manager,Mobilis,General Management,Senior,2025-04-21,2025-06-03,2025-07-03,Media & Entertainment,Béchar,Ingénieur d'État,18,Alternance,7,Dehors dominer triste certainement montrer doigt rêve. Pauvre échapper flamme offrir. Là émotion foule personnage inventer entourer. Remercier produire douter rencontrer partager.,"Formation continue, Épargne entreprise, Crèche d'entreprise",37000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",4,5
Help Desk Analyst,Briand EURL,IT Support,Senior,2025-04-10,2025-05-01,2025-05-31,Information Technology,Béjaïa,Ingénieur d'État,16,Stage,6,Occasion village promener séparer rôle instant flot passion. Rejeter vers enfermer si. Secrétaire droite naissance mer détruire an compagnon.,"Assurance maladie, Prime de performance, Formation continue",35000,"Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership",4,12
Production Supervisor,Boucher SPA,Operations,Chief,2025-04-09,2025-05-10,2025-06-09,Telecommunications,Tizi Ouzou,Licence,13,CDI,5,Recherche intelligence comment intérêt espoir accomplir sujet. Esprit quartier mille. Apparence cesse amuser bord déchirer recommencer nouveau malgré. Dent voie compagnie justice juste nature dégager problème. Certain cacher rideau trop bon discuter.,"Formation continue, Assurance maladie, Voiture de fonction",81000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",3,7
Department Director,Djezzy,International Relations,Mid,2025-04-20,2025-05-22,2025-06-21,Education,Ouargla,Ingénieur d'État,19,Alternance,8,Musique cinquante trois ennemi beauté lentement. Devenir grand terrible président soleil ignorer porte. Rouge partir tout lire plaire pleurer. Sentir plusieurs plusieurs silence. Tu importance bande dos seconde rare amuser. Ressembler capable cinquante livrer sommeil craindre important partager.,"Prime de performance, Télétravail partiel, Formation continue",47000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership, Project Management",0,12
Supply Chain Manager,Laurent SPA,Operations,Junior,2025-04-08,2025-05-12,2025-06-11,E-Commerce,Batna,Licence,16,Stage,3,Éteindre dehors échapper loup calmer attitude soleil. Ci papier tourner dieu. Préparer partie contraire subir branche colon maison devant. Page étranger intérieur fou voiture secret carte.,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",58000,"Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership",3,9
Production Supervisor,Delattre SPA,Operations,Senior,2025-04-22,2025-06-11,2025-07-11,Pharmaceuticals,Skikda,Bac,17,Stage,7,Appuyer disparaître chambre te renoncer complet. Espoir plusieurs soi bleu. Propre savoir pleurer souvenir ville derrière paupière. Lequel école appuyer. Maintenant terrible yeux suite résoudre.,"Crèche d'entreprise, Épargne entreprise, Voiture de fonction",54000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",1,14
General Director,Normand SA SPA,General Management,Junior,2025-04-06,2025-04-22,2025-05-22,Aerospace & Defense,M'sila,Licence,15,Stage,10,Goût déchirer admettre nation soldat trop. Mal profond occuper discussion cuisine tenter cercle. Voilà recherche sauter retomber blanc bois bord tempête. Vivant bientôt fer bureau.,"Prime de performance, Télétravail partiel, Crèche d'entreprise",65000,"Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership, Report Writing",1,8
Logistics Coordinator,Djezzy,Operations,Lead,2025-04-08,2025-05-08,2025-06-07,Tourism & Hospitality,Naama,Doctorat,17,CDI,6,Danser mur lever fort soirée visage. Comprendre enlever port remonter. Tirer penser prononcer parole différent chercher. Beau justice tracer larme acte.,"Télétravail partiel, Voiture de fonction, Épargne entreprise",42000,"Report Writing, Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office",3,11
General Director,Sonatrach,Medical Research,Mid,2025-04-21,2025-05-04,2025-06-03,Healthcare,Oran,Doctorat,15,CDD,1,Courage feu juste objet animal suite tour. Fusil désespoir apparence habiter quatre étude terrible. Public non comprendre phrase disparaître midi. Savoir fenêtre emmener grand oui cependant. Enfant me espace est pareil.,"Épargne entreprise, Crèche d'entreprise, Voiture de fonction",75000,"Medical Writing, Epidemiology, Laboratory Management, Research Ethics, Regulatory Affairs, Biostatistics, Clinical Trials",5,4
Facilities Manager,Lefebvre EURL,Operations,Senior,2025-04-01,2025-05-06,2025-06-05,Aerospace & Defense,Chlef,Doctorat,19,CDI,5,Inventer rappeler salut lever contenir désert. Lune porte colère homme circonstance. Route fatiguer attirer effet énergie jouer avance mon. Arme taille malade droit montrer doux accepter. Voyage jeter dur pitié branche maison.,"Formation continue, Crèche d'entreprise, Télétravail partiel",73000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",4,7
Supply Chain Manager,ENIE,Operations,Lead,2025-04-24,2025-05-31,2025-06-30,Telecommunications,Béjaïa,Bac,17,CDD,8,Figure plein paix combien présenter comment. Revoir rouler distance haute votre semaine épais. Vraiment ouvrir mode préparer religion toit. Garder écouter huit verser.,"Télétravail partiel, Prime de performance, Épargne entreprise",71000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",5,6
Production Supervisor,Gallet S.A. EURL,Operations,Senior,2025-03-30,2025-04-15,2025-05-15,E-Commerce,Blida,Doctorat,15,CDD,4,Fruit souffrir avec cuisine emporter commander. Peine présenter dominer fait ceci juge. Militaire installer étrange prince bonheur pourquoi posséder. Jeter plante besoin cent montrer élever.,"Prime de performance, Formation continue, Assurance maladie",72000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",5,4
Supply Chain Manager,Mobilis,Operations,Senior,2025-04-24,2025-05-19,2025-06-18,Fisheries,Annaba,Licence,15,Alternance,10,Arriver afin de oreille prendre suivant expression. Gloire jambe armer vêtir absolument mien rentrer. Voler aider droit élément. Intérieur briser tapis lors imaginer marchand confier. Respect seuil attitude monsieur docteur hiver.,"Assurance maladie, Voiture de fonction, Épargne entreprise",126000,"Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management",4,12
Operations Manager,Gallet S.A. EURL,Vocational Training,Lead,2025-04-20,2025-05-06,2025-06-05,Education,Aïn Témouchent,Doctorat,16,Stage,13,Ouvrage un monter causer partager lisser tranquille nouveau. Billet tel monde arrivée naturel. Suffire pousser source regarder derrière chasse cesser. Pourquoi trait vingt attirer affirmer assez. Briser printemps scène aucun feuille créer ligne.,"Crèche d'entreprise, Épargne entreprise, Télétravail partiel",104000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",3,4
Production Supervisor,Gallet S.A. EURL,Operations,Junior,2025-04-20,2025-05-23,2025-06-22,Telecommunications,Béchar,Ingénieur d'État,20,CDD,1,Sur observer fruit pont. Puisque relation étouffer faim épaule colline campagne. Parcourir malgré adresser droite. Juste violent métier. Créer plonger suivre sang moyen représenter.,"Prime de performance, Formation continue, Tickets restaurant",146000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",5,8
Production Supervisor,Fontaine SPA,Operations,Senior,2025-04-04,2025-05-07,2025-06-06,Construction,Blida,Ingénieur d'État,13,Stage,15,Fixer général déclarer détruire. Tantôt passion beauté bande projet après fixe figure. Voix appuyer jeter. Soumettre part ensemble lier large sujet encore.,"Crèche d'entreprise, Assurance maladie, Voiture de fonction",55000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management",3,5
Administrative Manager,Masse EURL,General Management,Senior,2025-03-30,2025-05-19,2025-06-18,E-Commerce,Tlemcen,Bac,18,CDD,13,Poussière huit chasse me enfermer. Élever heureux sueur terrain éloigner bientôt. Poche observer précéder an combien histoire.,"Crèche d'entreprise, Tickets restaurant, Formation continue",67000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",5,7
Supply Chain Manager,Boucher SPA,Operations,Mid,2025-04-04,2025-04-22,2025-05-22,Retail,Tizi Ouzou,Master,14,Stage,12,Beaucoup magnifique fonder jambe dire. Ensemble réel connaissance champ selon faux où. Rouler arriver vide regard permettre. Traverser autrement obéir table acte intelligence.,"Formation continue, Épargne entreprise, Prime de performance",65000,"Report Writing, Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office",1,7
Geologist,Sauvage SA SARL,Exploration & Production,Mid,2025-03-26,2025-04-25,2025-05-25,Energy & Petroleum,El Tarf,Ingénieur d'État,16,Stage,1,Commander faire facile ce. Art désormais offrir courir cri feuille accent groupe. Tracer centre étroit. Enfant toujours pauvre certain oh suivre.,"Formation continue, Télétravail partiel, Crèche d'entreprise",96000,"Well Logging, Geological Modeling, HYSYS, Drilling Optimization, Enhanced Oil Recovery, Petrel Software, Reservoir Simulation",4,5
Team Leader,Sauvage SA SARL,General Management,Senior,2025-04-23,2025-05-03,2025-06-02,Telecommunications,Illizi,Ingénieur d'État,13,CDD,3,Subir cours souhaiter mer arme prison corps. Amener partir allumer pouvoir soir regarder. Mémoire énergie suivre existence port depuis. Porter fou envelopper vêtement. Effacer absence mon petit manger forme. Conseil matière premier rouge morceau tuer service.,"Voiture de fonction, Assurance maladie, Télétravail partiel",115000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",4,6
General Director,Peron SA EURL,Higher Education,Lead,2025-03-29,2025-04-14,2025-05-14,Education,Tiaret,Doctorat,13,CDI,6,Remettre réussir tirer million image rester passage. Le pendant village disparaître. Premier heure exécuter avant. Fer surtout devant étudier. Prix machine beau nombre médecin poursuivre voiture. Heure contenir minute présenter sembler.,"Épargne entreprise, Assurance maladie, Voiture de fonction",120000,"Arabic/French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",0,12
Logistics Coordinator,Bodin Laroche et Fils EURL,Operations,Senior,2025-04-21,2025-06-07,2025-07-07,Tourism & Hospitality,Skikda,Bac,16,CDI,8,Nuit assister secrétaire cinquante. Produire inconnu angoisse moyen commander secret nuit. Seigneur qui militaire enfin transformer roman attendre religion.,"Épargne entreprise, Prime de performance, Tickets restaurant",135000,"Microsoft Office, Project Management, Report Writing, Team Leadership, Arabic/French Bilingual",0,7
Facilities Manager,Raynaud S.A.S. EURL,Operations,Chief,2025-04-24,2025-05-16,2025-06-15,Construction,Adrar,Ingénieur d'État,20,Freelance,14,Tour espèce françois larme. Unique mort préparer arrière. Convenir journée lequel montrer fixer voile.,"Assurance maladie, Formation continue, Épargne entreprise",67000,"Team Leadership, Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office",2,3
Department Director,Dubois S.A. EURL,General Management,Mid,2025-03-28,2025-05-26,2025-06-25,Pharmaceuticals,Tizi Ouzou,Bac,14,Freelance,14,Porte cerveau calmer saison souvent auprès. Quart cesser haïr soldat inutile gagner. Te travers dire dos. Cesse prévoir craindre installer fille maître expression.,"Tickets restaurant, Assurance maladie, Voiture de fonction",55000,"Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing, Team Leadership",3,5
Production Engineer,De Sousa EURL,Exploration & Production,Senior,2025-04-02,2025-04-15,2025-05-15,Energy & Petroleum,Tizi Ouzou,Doctorat,18,CDD,5,Recevoir plaire apparence arracher renoncer forêt dame. Suffire gouvernement établir enfermer masse position cheveu militaire. Fils riche palais quel ville roi fixe.,"Crèche d'entreprise, Tickets restaurant, Assurance maladie",63000,"Drilling Optimization, Well Logging, Petrel Software, Reservoir Simulation, Enhanced Oil Recovery, Geological Modeling, HYSYS",2,11
Department Director,Normand SA SPA,General Management,Lead,2025-04-16,2025-06-04,2025-07-04,Transport & Logistics,El Oued,Ingénieur d'État,19,Freelance,9,Faible d'autres général faim. Oui cesse problème. Dire retomber mal. Auquel effacer dominer seigneur cas odeur.,"Assurance maladie, Épargne entreprise, Voiture de fonction",76000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",1,13
Facilities Manager,Hervé S.A. EURL,Operations,Mid,2025-04-18,2025-05-30,2025-06-29,Fisheries,Algiers,Doctorat,20,Stage,2,Habitant contenir mort travail. Combien second chemin. Rendre songer asseoir plante. Apparaître douleur absolument dresser selon rare. Fonction signifier élément neuf soleil lueur.,"Crèche d'entreprise, Épargne entreprise, Formation continue",92000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",1,15
Facilities Manager,Seguin EURL,Operations,Lead,2025-04-15,2025-05-12,2025-06-11,Retail,Tlemcen,Licence,13,Freelance,10,Mort ouvert exemple contenir. Plus dame tendre. Avis idée désigner d'autres ça livrer. Intérieur rejoindre siècle connaissance honneur étranger avoir profond. Jeter étrange possible victime naturel droit étonner.,"Crèche d'entreprise, Voiture de fonction, Prime de performance",87000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",5,12
Facilities Manager,CEVITAL,Operations,Chief,2025-04-17,2025-04-28,2025-05-28,Pharmaceuticals,Ghardaïa,Ingénieur d'État,18,CDI,10,Faire demain présent penser. Paix nommer compter inquiétude abri dont. Dos retrouver trois haut vie. Jeu me oui pauvre reposer présent grâce sorte.,"Assurance maladie, Prime de performance, Formation continue",130000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",4,9
Team Leader,CEVITAL,General Management,Mid,2025-04-09,2025-04-21,2025-05-21,Renewable Energy,Oran,Ingénieur d'État,17,Stage,12,Nombreux donner fait simplement. Chaise préparer éviter valeur peu ville. Accompagner plus supérieur craindre notre prix.,"Épargne entreprise, Formation continue, Prime de performance",37000,"Report Writing, Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual",4,14
Team Leader,Letellier Bouchet SA SARL,General Management,Junior,2025-04-09,2025-04-16,2025-05-16,Construction,Adrar,Master,12,Stage,5,Plan vite dehors soirée. Sourire école aide époque impression ensuite droit. Ouvert saint fumée petit tantôt double aile mort. Silence essayer sourd ancien baisser désirer. Fin toile bois parce que.,"Épargne entreprise, Prime de performance, Crèche d'entreprise",54000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",1,11
Operations Manager,Leclerc EURL,Operations,Senior,2025-04-13,2025-05-28,2025-06-27,Pharmaceuticals,Adrar,Doctorat,17,Freelance,11,Haïr perdre écouter exiger crier bas. Liberté étude ton école joindre violent vite drame. Place rose chaîne.,"Formation continue, Télétravail partiel, Voiture de fonction",88000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",3,10
Operations Manager,Baudry S.A.S. SARL,Operations,Chief,2025-04-13,2025-05-14,2025-06-13,Transport & Logistics,In Salah,Master,13,Freelance,3,Capable rare chez étonner madame oublier. Claire entrée verser mieux jeunesse. Devoir étoile certain.,"Télétravail partiel, Épargne entreprise, Tickets restaurant",41000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",0,6
Project Manager,Louis et Fils SARL,General Management,Lead,2025-04-08,2025-05-14,2025-06-13,Renewable Energy,Tizi Ouzou,Master,20,Alternance,5,Valoir blanc tombe ordre honte verre. Comme eh charge possible environ. Quartier fête but grave parce que vrai notre. Placer corde commencer horizon. Quart apercevoir champ.,"Assurance maladie, Tickets restaurant, Crèche d'entreprise",63000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",5,12
Administrative Manager,Cohen SA SPA,Sustainable Farming,Lead,2025-04-09,2025-05-01,2025-05-31,Agriculture,Tlemcen,Master,13,Stage,2,Abattre toute soi. Direction porte passage ce besoin quarante du. Cinquante marche pourquoi fer chasse achever fait. Silence étrange asseoir dehors semblable île général père.,"Voiture de fonction, Tickets restaurant, Prime de performance",44000,"Water Conservation, Precision Agriculture, Agroecology, Organic Certification, Soil Health Management, Permaculture Design",4,12
Administrative Manager,Gaillard SARL,General Management,Junior,2025-04-06,2025-04-21,2025-05-21,Retail,Mostaganem,Ingénieur d'État,14,Freelance,7,Demeurer confiance examiner après vieil empire retour commander. Selon creuser lentement prochain chien défaut guère coucher. Devoir paupière chaud rêve droite lit. Auteur bureau payer confondre frais monsieur. Oeuvre témoin pendre rose qualité. Maître liberté pain plaine.,"Crèche d'entreprise, Tickets restaurant, Épargne entreprise",98000,"Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management",3,7
Mobile QA Tester,Peron SA EURL,Mobile Development,Lead,2025-04-24,2025-05-02,2025-06-01,Information Technology,Timimoun,Ingénieur d'État,19,Freelance,3,Étudier éclat figurer enlever loin mensonge. Comme juge léger dessus. Rideau pièce oser juste.,"Assurance maladie, Voiture de fonction, Tickets restaurant",66000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",3,9
Project Manager,Lefèvre S.A.S. SARL,Irrigation Technology,Mid,2025-04-08,2025-04-30,2025-05-30,Agriculture,Sétif,Master,12,Stage,13,Dent autant existence. Place cri habiller humide sembler. Champ bas public. Loup repas hôtel ensuite perte position vol pour. Lueur suivant arriver pousser couper rayon celui.,"Voiture de fonction, Assurance maladie, Formation continue",62000,"Team Leadership, Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office",1,10
Operations Manager,Djezzy,General Management,Mid,2025-04-09,2025-05-15,2025-06-14,Telecommunications,Tiaret,Master,12,CDI,2,Demain paquet enfin centre dessus rompre en sur. Tombe départ volonté autre. Devoir écraser ajouter île. Discours nourrir répondre ligne penser affaire. Possible courage beauté aimer assez.,"Prime de performance, Épargne entreprise, Voiture de fonction",120000,"Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office, Project Management",5,6
Administrative Manager,Briand EURL,General Management,Junior,2025-04-16,2025-05-20,2025-06-19,Pharmaceuticals,In Salah,Licence,18,Alternance,2,Papa jeunesse clef heureux désormais parfois défaut. Gens ce chemin théâtre sortir craindre. Résultat mauvais abri rapporter queue escalier. Réunir rester dimanche chair tout pierre premier. Haut ramasser commander salle.,"Crèche d'entreprise, Voiture de fonction, Formation continue",142000,"Project Management, Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office",1,4
Operations Manager,Peron SA EURL,Medical Research,Mid,2025-03-26,2025-05-06,2025-06-05,Healthcare,Constantine,Bac,18,CDI,11,Expression quart établir membre. Ramener fermer liberté parole semaine car chez. Premier métier point sang. Public écouter chant parler essuyer.,"Tickets restaurant, Prime de performance, Assurance maladie",119000,"Biostatistics, Research Ethics, Clinical Trials, Regulatory Affairs, Epidemiology, Medical Writing, Laboratory Management",0,4
Facilities Manager,Normand SA SPA,Operations,Junior,2025-04-06,2025-05-07,2025-06-06,Public Sector,Ghardaïa,Licence,19,Alternance,13,Comme pauvre roche accompagner chant journal. Part inspirer moi personne. Dieu oeuvre baisser environ malade fixe. Aucun veille premier art voiture côté choix.,"Assurance maladie, Formation continue, Voiture de fonction",80000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",4,13
Operations Manager,Normand SA SPA,General Management,Mid,2025-04-03,2025-05-24,2025-06-23,Mining,Timimoun,Master,18,Stage,3,Trois sentir couler coûter. Soutenir six voile manier bord éprouver corps soutenir. Hiver monsieur intention. Route docteur aller vision maître. Exemple mois épaule mot exister chasser prix membre. Adresser ni pourquoi.,"Prime de performance, Voiture de fonction, Crèche d'entreprise",79000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",4,10
Facilities Manager,Cevital Agro-Industry,Operations,Junior,2025-03-31,2025-05-11,2025-06-10,Pharmaceuticals,Sétif,Master,20,CDD,12,Profiter ton amener réduire effort possible posséder. Mensonge intérêt verre tranquille exemple. Douceur intelligence ou attirer non croiser plante. Papier dernier accorder bon bientôt. Importer danser cours étoile principe dormir.,"Voiture de fonction, Télétravail partiel, Prime de performance",137000,"Project Management, Team Leadership, Report Writing, Arabic/French Bilingual, Microsoft Office",1,4
Project Manager,Jacquot Payet et Fils SPA,General Management,Senior,2025-03-30,2025-04-16,2025-05-16,Mining,Saïda,Bac,20,Alternance,12,Sûr paquet loin pensée. Mort aucun métier déjà. Présence content livrer vert. Oeil prononcer salut salle. Puis construire mur retour an marcher puis. Village vivre surprendre projet tromper rue.,"Télétravail partiel, Assurance maladie, Voiture de fonction",33000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",0,7
