job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
11,Regulatory Affairs Specialist,Clinical Trials Manager,2025-02-09,2025-03-08,2025-04-07,Pharmaceuticals,Oran,Doctorat,20,Internship,6,"GLP Standards, Clinical Trials Management, Pharmacovigilance, Biostatistics, Analytical Chemistry, Medical Writing, Quality Assurance (QA), Pharmaceutical Sales",0,1,134000
12,Medical Technologist,Health Informatics Specialist,2025-02-26,2025-03-24,2025-04-23,Healthcare,Oran,Master,17,CDD,5,"Medical Device Regulation, Healthcare Analytics, Nursing Informatics, Precision Medicine, Telemedicine, Medical Imaging (MRI/CT), Infection Control, VR Therapy, EHR Systems, Health Informatics, Genomics, AI Diagnostics, Mental Health Apps",6,7,80000
13,Aquaculture Technician,Fishery Inspector,2025-03-19,2025-03-29,2025-04-28,Fisheries,Béjaïa,No Formal Education,0,Internship,5,"Oceanographic Survey, Biosecurity in Aquaculture, Fish Disease Management",0,1,24000
14,Quality Control Inspector,Production Supervisor,2025-03-22,2025-04-19,2025-05-19,Manufacturing,Algiers,Doctorat,20,Freelance,1,"Workforce Training, Rapid Prototyping, Additive Manufacturing, 3D Printing, Lean Manufacturing, Industrial Cybersecurity, Six Sigma, Tooling Design, Supply Chain Resilience, Production Planning, Energy Efficiency, Quality Control, Process Engineering, Robotics (ROS), CAD/CAM",8,13,80000
15,Formulation Scientist,Formulation Scientist,2025-03-06,2025-03-06,2025-04-05,Pharmaceuticals,Annaba,Doctorat,20,Freelance,4,"CMC Documentation, GLP Standards, Pharmaceutical Marketing, Regulatory Affairs, GMP Compliance, Stability Testing, Batch Record Review, FDA Submissions, Clinical Trials Management, Medical Writing, Preclinical Research, Pharmacovigilance, Drug Formulation, Sterile Manufacturing, Formulation Development",8,10,140000
16,Fleet Coordinator,Supply Chain Analyst,2025-04-21,2025-04-28,2025-05-28,Transport & Logistics,M’sila,Master,17,Freelance,10,"Transportation Modeling, Customs Compliance, Freight Forwarding, SCM ERP Systems, Logistics Analytics, Logistics Automation, Shipment Tracking, Logistics Planning, Reverse Logistics, EDI Integration, TMS Software, Distribution Strategy, Warehouse Management Systems, Supply Chain Optimization",6,9,90000
17,Store Manager,Store Manager,2025-04-15,2025-05-05,2025-06-04,Retail,Jijel,Licence,15,CDI,1,"Retail Automation, Visual Merchandising, In-Store Analytics, Mobile POS, Consumer Behavior Analysis, Retail Chatbots, E-Commerce Integration, Social Commerce, Inventory Management",2,5,49000
18,Site Manager,Quantity Surveyor,2025-03-12,2025-03-25,2025-04-24,Construction,Constantine,Ingénieur d'État,18,CDD,1,"Prefabrication, 3D Printing, Construction Robotics, Lean Construction, HVAC Design, Land Surveying, Risk Management, Stakeholder Collaboration, Tunnel Construction, Urban Planning, IoT for Smart Buildings",4,5,86000
19,Risk Manager,Portfolio Manager,2025-02-22,2025-03-04,2025-04-03,Finance,Algiers,Licence,15,Freelance,7,"Portfolio Management, Crowdfunding, Blockchain/Crypto, Capital Markets, Audit Techniques, Quantitative Finance, Economic Forecasting, Actuarial Science",2,3,94000
20,Data Scientist,Software Engineer,2025-04-22,2025-05-08,2025-06-07,Information Technology,Annaba,Ingénieur d'État,18,Freelance,5,"Stable Diffusion, EKS, ISO 27001, Seaborn, R, VPNs, TypeScript, Node.js, REST APIs, Docker, Hadoop, C++",4,7,148000
21,Fleet Coordinator,Customs Compliance Officer,2025-02-16,2025-02-20,2025-03-22,Transport & Logistics,Chlef,No Formal Education,0,Internship,10,"Supply Chain Optimization, Logistics Costing, Fleet Management",0,1,42000
22,Sound Designer,Sound Designer,2025-03-15,2025-03-19,2025-04-18,Media & Entertainment,Oran,Doctorat,20,Freelance,9,"Newsroom Automation, Copyright Law, OTT Platforms, Sound Design (Pro Tools), AR/VR Content, Interactive Storytelling, Live Streaming (Twitch), Influencer Partnerships, Set Design, Scriptwriting, Ad Tech (Programmatic), Platform-Specific Content (TikTok), CDN Management, Digital Journalism, AI Content Generation",8,11,80000
23,Quality Control Inspector,Process Technician,2025-03-13,2025-03-29,2025-04-28,Manufacturing,Bejaïa,Ingénieur d'État,18,Internship,8,"Smart Factories, Industrial Cybersecurity, Workforce Training, Supply Chain Resilience, 3D Printing, Energy Efficiency, Six Sigma",0,1,66000
24,DevOps Engineer,Data Scientist,2025-04-06,2025-04-18,2025-05-18,Information Technology,Annaba,Baccalaureate,12,CDI,1,"Cloud Architecture, CEH, Generative AI, Scikit-learn, Jenkins, Prometheus",0,1,89000
25,Data Scientist,Software Engineer,2025-04-26,2025-04-28,2025-05-28,Information Technology,Oran,Ingénieur d'État,18,CDD,3,"TensorFlow, Elasticsearch, Django, Cloud Architecture, Spring Boot, Serverless Computing, Matplotlib, GKE, Kafka, Network Security, Azure",4,5,143000
26,Portfolio Manager,Portfolio Manager,2025-04-18,2025-05-10,2025-06-09,Finance,Batna,Licence,15,Freelance,9,"Financial AI, Regulatory Compliance (SOX), Real Estate Finance, Quantitative Finance, Tax Strategy, ESG Investing, Economic Forecasting, Wealth Management, Blockchain/Crypto",2,4,96000
27,Cybersecurity Analyst,Data Scientist,2025-03-31,2025-04-06,2025-05-06,Information Technology,Annaba,No Formal Education,0,Internship,7,"CEH, Rust, Jira",0,1,71000
28,Reservoir Engineer,Reservoir Engineer,2025-05-07,2025-05-25,2025-06-24,Energy & Petroleum,Algiers,Master,17,Freelance,7,"Subsea Engineering, Risk Assessment (HAZOP), Predictive Maintenance AI, Power Plant Management, Drilling Optimization, Downstream Operations, Thermal Modeling, Corrosion Engineering, Wind Farm Design, Digital Twins, Energy Storage Solutions, Pipeline Integrity Management, Well Logging, IoT for Oilfields, Petroleum Engineering",6,10,200000
29,Regulatory Affairs Specialist,QA Analyst,2025-02-14,2025-03-12,2025-04-11,Pharmaceuticals,Constantine,Licence,15,Freelance,7,"Pharmaceutical Marketing, Batch Record Review, Analytical Chemistry, Preclinical Research, FDA Submissions, Drug Formulation, Pharmaceutical Sales, Clinical Trials Management, Stability Testing",2,4,112000
30,Supply Chain Analyst,Logistics Manager,2025-03-07,2025-03-24,2025-04-23,Transport & Logistics,Algiers,No Formal Education,0,CDD,4,"Customs Compliance, Distribution Strategy, Transportation Modeling",0,1,42000
31,Supply Chain Analyst,Logistics Manager,2025-04-04,2025-04-13,2025-05-13,Transport & Logistics,Constantine,Licence,15,CDI,10,"Last-Mile Delivery, SCM ERP Systems, Route Optimization, Logistics Planning, Cold Chain Logistics, Supply Chain Optimization, Logistics Automation, Reverse Logistics, Customs Compliance",2,5,72000
32,Customs Compliance Officer,Fleet Coordinator,2025-04-16,2025-04-19,2025-05-19,Transport & Logistics,Algiers,Master,17,Freelance,1,"Logistics Costing, Logistics Automation, EDI Integration, Customs Compliance, SCM ERP Systems, Logistics Planning, Reverse Logistics, Freight Forwarding, Inventory Control, Logistics Analytics, TMS Software, Last-Mile Delivery, Cold Chain Logistics",6,7,90000
33,Blasting Technician,Blasting Technician,2025-02-11,2025-02-22,2025-03-24,Mining,Blida,No Formal Education,0,Freelance,8,"Mining Equipment Maintenance, Mine Planning, GIS for Mining",0,1,72000
34,Clinical Researcher,Clinical Researcher,2025-04-23,2025-05-07,2025-06-06,Healthcare,Skikda,Ingénieur d'État,18,Alternance,5,"Health Informatics, Genomics, AI Drug Discovery, Mental Health Apps, Population Health, Precision Medicine, Medical Simulation",0,1,69000
35,Avionics Engineer,Avionics Engineer,2025-02-14,2025-02-25,2025-03-27,Aerospace & Defense,Sétif,Ingénieur d'État,18,Internship,4,"Military Standards (MIL-STD), Ground Control Systems, Unmanned Aerial Systems, Aerodynamics Simulation, DO-178C Certification, ITAR Compliance, Flight Control Systems",0,1,152000
36,Flight Test Engineer,Flight Test Engineer,2025-05-02,2025-05-06,2025-06-05,Aerospace & Defense,Blida,Ingénieur d'État,18,CDI,4,"CAD for Aerospace, Reliability Engineering, Military Standards (MIL-STD), Flight Control Systems, Defense Contracting, Flight Testing, DO-178C Certification, Aerospace Materials, Jet Propulsion, Thermal Analysis, Systems Engineering, Radar Systems",4,6,175000
37,Wind Turbine Engineer,Energy Auditor,2025-03-15,2025-03-28,2025-04-27,Renewable Energy,Algiers,Licence,15,Alternance,5,"Solar PV Systems, Load Flow Analysis, Sustainable Design, Power Purchase Agreements (PPAs), Energy Simulation, Grid Integration",0,1,92000
38,Inventory Coordinator,Store Manager,2025-03-23,2025-04-09,2025-05-09,Retail,Algiers,Ingénieur d'État,18,Internship,2,"Retail Analytics, Personal Shopping AI, Social Commerce, RFID, Loyalty Programs, CRM (Salesforce), Loss Prevention",0,1,50000
39,Tour Guide,Guest Services Manager,2025-02-22,2025-03-11,2025-04-10,Tourism & Hospitality,Medea,Ingénieur d'État,18,Freelance,10,"Hospitality Branding, Customer Relationship Management, Tour Guiding, Hospitality Software (Opera), Front Office Operations, Culinary Arts, Travel Itinerary Planning, Hospitality Marketing, Travel Regulations, Hospitality Accounting, Airline Reservations",4,5,57000
40,Reservoir Engineer,Reservoir Engineer,2025-03-13,2025-03-23,2025-04-22,Energy & Petroleum,Tipaza,Master,17,CDI,4,"Pipeline Integrity Management, Subsea Engineering, Energy Economics, Smart Grid Technology, Predictive Maintenance AI, Reservoir Simulation, IoT for Oilfields, HSE Compliance, Risk Assessment (HAZOP), Digital Twins, Energy Storage Solutions, Hydraulic Fracturing, Drilling Optimization, Carbon Capture & Storage, Corrosion Engineering",6,10,200000
41,Instructional Designer,Academic Advisor,2025-04-13,2025-04-25,2025-05-25,Education,El Oued,Ingénieur d'État,18,Alternance,9,"Curriculum Design, Peer Learning Platforms, Open Educational Resources (OER), Plagiarism Detection (Turnitin), Gamification (Kahoot), Virtual Classrooms (Zoom), Educational Data Mining",0,1,52000
42,Mine Engineer,Geologist,2025-04-16,2025-04-19,2025-05-19,Mining,Tipaza,Master,17,Internship,5,"GIS for Mining, Geological Mapping, Mine Reclamation, Mineralogy, Mining Economics, Underground Mining Techniques, Slope Stability Analysis",0,1,142000
43,QA Analyst,Formulation Scientist,2025-04-07,2025-04-15,2025-05-15,Pharmaceuticals,El Oued,Doctorat,20,CDI,8,"Pharmaceutical Marketing, Pharmacovigilance, Analytical Chemistry, Formulation Development, GMP Compliance, Batch Record Review, FDA Submissions, Preclinical Research, Stability Testing, HPLC, Pharmaceutical Sales, Biostatistics, Quality Assurance (QA), Drug Formulation, Sterile Manufacturing",8,11,140000
44,Sales Associate,Merchandiser,2025-03-30,2025-04-10,2025-05-10,Retail,M’sila,Doctorat,20,Internship,2,"Retail Chatbots, Visual Merchandising, Loyalty Programs, Consumer Behavior Analysis, Inventory Management, Dynamic Pricing, E-Commerce Integration, CRM (Salesforce)",0,1,57000
45,Avionics Engineer,Systems Engineer,2025-02-22,2025-03-16,2025-04-15,Aerospace & Defense,Laghouat,Master,17,Alternance,5,"Weapon Systems Integration, Mission Planning, Ground Control Systems, Jet Propulsion, Thermal Analysis, Aerospace Materials, Defense Contracting, Flight Control Systems",0,2,165000
46,Formulation Scientist,Formulation Scientist,2025-03-15,2025-03-28,2025-04-27,Pharmaceuticals,Algiers,Master,17,Freelance,10,"GLP Standards, Sterile Manufacturing, Pharmaceutical Sales, Medical Writing, Pharmaceutical Marketing, Preclinical Research, Analytical Chemistry, Batch Record Review, HPLC, Stability Testing, Quality Assurance (QA), Pharmacovigilance, FDA Submissions, Drug Formulation",6,8,140000
47,Marketplace Coordinator,UX/UI Designer,2025-05-07,2025-06-03,2025-07-03,E-Commerce,Béjaïa,Ingénieur d'État,18,CDD,8,"Dropshipping, Subscription Models, Live Streaming Sales, Customer Segmentation, Returns Management, SEO/SEM, AI Personalization, Product Information Management (PIM), User-Generated Content (UGC), Cryptocurrency Payments, Supply Chain Analytics, Shopify/Magento",4,7,98000
48,Guest Services Manager,Hotel Manager,2025-02-28,2025-03-15,2025-04-14,Tourism & Hospitality,Bejaïa,Doctorat,20,Alternance,7,"Hospitality Branding, Hospitality Marketing, Food & Beverage Management, Destination Management, Hospitality Software (Opera), Guest Services, Travel Itinerary Planning, Tour Guiding",0,1,57000
49,Systems Engineer,Flight Test Engineer,2025-04-29,2025-05-01,2025-05-31,Aerospace & Defense,Algiers,Licence,15,Freelance,1,"DO-178C Certification, Jet Propulsion, Weapon Systems Integration, Unmanned Aerial Systems, Reliability Engineering, Defense Contracting, Satellite Communications, Thermal Analysis, Radar Systems",2,4,145000
50,VFX Artist,Content Producer,2025-03-01,2025-03-02,2025-04-01,Media & Entertainment,Laghouat,Master,17,CDD,4,"Media Asset Management (MAM), Video Editing (Premiere Pro), Metadata Tagging, Influencer Partnerships, CDN Management, Interactive Storytelling, AI Content Generation, Scriptwriting, 3D Animation (Maya/Blender), Digital Rights Management (DRM), Audience Analytics (Nielsen), Copyright Law, Transmedia Storytelling, Gaming Engines (Unity), AR/VR Content",6,10,80000
51,Health Informatics Specialist,Health Informatics Specialist,2025-04-26,2025-05-11,2025-06-10,Healthcare,Oran,Licence,15,Internship,10,"Medical Coding, Wearable Tech, EHR Systems, VR Therapy, Rehabilitation Tech, Epidemiology",0,1,61000
52,UX/UI Designer,Marketplace Coordinator,2025-03-17,2025-03-29,2025-04-28,E-Commerce,Blida,Master,17,Freelance,4,"Dropshipping, Shopify/Magento, Cross-Border E-Commerce, Subscription Models, Sustainable E-Commerce, Headless Commerce, Omnichannel Strategy, Customer Segmentation, Returns Management, AI Personalization, Fraud Detection, Email Automation, Product Information Management (PIM), Inventory Forecasting",6,8,100000
53,Energy Auditor,Energy Auditor,2025-02-13,2025-02-23,2025-03-25,Renewable Energy,Constantine,Master,17,Internship,5,"Biomass Energy Systems, Battery Storage Systems, Smart Grid Systems, Grid Integration, Energy Policy, Green Building Codes, Power Purchase Agreements (PPAs)",0,1,116000
54,HSE Specialist,Petroleum Engineer,2025-05-06,2025-06-02,2025-07-02,Energy & Petroleum,Tébessa,Master,17,Freelance,10,"Subsea Engineering, Nuclear Safety Protocols, Drilling Optimization, Remote Sensing (LiDAR), Hydrogen Energy Systems, Energy Storage Solutions, Pipeline Integrity Management, Geothermal Systems, Well Logging, Waste-to-Energy Tech, SCADA Systems, Offshore Operations, Carbon Credit Trading",6,7,200000
55,Process Technician,Production Supervisor,2025-05-03,2025-05-18,2025-06-17,Manufacturing,Oran,Baccalaureate,12,Alternance,3,"Energy Efficiency, Supply Chain Resilience, Robotics Programming, Safety Standards, Materials Management, CAD/CAM, Industrial Cybersecurity",0,2,48000
56,Digital Services Manager,Urban Planner,2025-02-27,2025-03-23,2025-04-22,Public Sector,Algiers,Ingénieur d'État,18,CDD,8,"Public Finance, Digital Identity Systems, Freedom of Information, Social Program Management, Government Procurement, Government Auditing, E-Government Solutions, IT for Government, Public Health Policy, Urban Planning, Municipal Budgeting, Legislative Drafting",4,7,69000
57,Data Scientist,Data Scientist,2025-03-17,2025-04-08,2025-05-08,Information Technology,Algiers,Master,17,CDD,10,".NET, Kafka, Python, Agile, Flask, Pandas, Firebase, Docker, Node.js, Power BI, TypeScript, Java, Metasploit, Redis",6,9,150000
58,Store Manager,Sales Associate,2025-02-20,2025-03-04,2025-04-03,Retail,Khenchela,Master,17,CDI,2,"Sustainability, RFID, Omnichannel Strategy, Mobile POS, Personal Shopping AI, Loss Prevention, Staff Training, POS Systems, Click-and-Collect, Social Commerce, Loyalty Programs, Dynamic Pricing, Inventory Management, Retail Chatbots",6,9,60000
59,Instructional Designer,Instructional Designer,2025-02-20,2025-03-03,2025-04-02,Education,Algiers,Baccalaureate,12,Freelance,10,"Classroom Management, Esports in Schools, Open Educational Resources (OER), Mental Health Tools, Parent-Teacher Apps, Hybrid Learning",0,1,40000
60,Wind Turbine Engineer,Grid Integration Specialist,2025-04-20,2025-05-17,2025-06-16,Renewable Energy,Medea,Ingénieur d'État,18,Internship,6,"Green Building Codes, Energy Efficiency Auditing, Energy Management Systems, Net Metering, Renewable Energy Site Assessment, Power Purchase Agreements (PPAs), Smart Grid Systems",0,1,108000
61,Policy Analyst,Policy Analyst,2025-03-31,2025-04-12,2025-05-12,Public Sector,Oran,Baccalaureate,12,Internship,2,"Freedom of Information, Government Procurement, IT for Government, Public Sector Accounting, Public Finance, Government Auditing",0,1,43000
62,Marketplace Coordinator,Marketplace Coordinator,2025-04-20,2025-05-18,2025-06-17,E-Commerce,Sétif,No Formal Education,0,Alternance,9,"Warehouse Automation (WMS), Dropshipping, Affiliate Marketing, 3PL Logistics",0,2,49000
63,Geologist,Environmental Compliance Officer,2025-03-20,2025-04-17,2025-05-17,Mining,Algiers,Master,17,Freelance,1,"Mining Equipment Maintenance, Mineralogy, Mine Planning, Underground Mining Techniques, Mineral Exploration, Environmental Impact of Mining, Mine Reclamation, Mine Ventilation, Ore Processing, Geological Mapping, Surface Mining, Mining Automation, Mining Safety Standards, Blasting Techniques",6,9,160000
64,Auditor,Auditor,2025-03-17,2025-04-03,2025-05-03,Finance,Bejaïa,Doctorat,20,Alternance,2,"Algorithmic Trading, Data Analytics (Power BI), Wealth Management, Derivatives, AML Compliance, Treasury Management, Audit Techniques, Forex",0,1,115000
65,Registered Nurse,Clinical Researcher,2025-02-28,2025-03-06,2025-04-05,Healthcare,Mostaganem,Baccalaureate,12,Freelance,10,"Genomics, Epidemiology, Digital Therapeutics, Medical Imaging (MRI/CT), EHR Systems, Clinical Trials",0,1,53000
66,Merchandiser,Merchandiser,2025-03-28,2025-04-20,2025-05-20,Retail,Oran,No Formal Education,0,Internship,7,"Vendor Management, Consumer Behavior Analysis, Retail Chatbots",0,1,29000
67,VFX Artist,Video Editor,2025-02-15,2025-02-17,2025-03-19,Media & Entertainment,Mostaganem,No Formal Education,0,Internship,2,"Newsroom Automation, Sports Broadcasting, Copyright Law",0,1,36000
68,HSE Specialist,Drilling Supervisor,2025-05-01,2025-05-06,2025-06-05,Energy & Petroleum,Tébessa,Master,17,CDI,7,"Petrochemical Design, Corrosion Engineering, Carbon Credit Trading, Carbon Capture & Storage, IoT for Oilfields, Well Logging, Thermal Modeling, Subsea Engineering, Energy Storage Solutions, Downstream Operations, Waste-to-Energy Tech, Hydraulic Fracturing, Energy Economics, Hydrogen Energy Systems, Offshore Operations",6,10,200000
69,Project Engineer,Site Manager,2025-02-21,2025-02-28,2025-03-30,Construction,Constantine,Licence,15,CDD,3,"Sustainable Design (LEED), HVAC Design, Concrete Tech, Energy Efficiency, Land Surveying, Building Codes, Water Management, Road Engineering, Drone Surveying",2,5,74000
70,Safety Officer,Site Manager,2025-04-24,2025-05-14,2025-06-13,Construction,Tipaza,Ingénieur d'État,18,Freelance,5,"Road Engineering, Sustainable Design (LEED), Urban Planning, Energy Efficiency, Drone Surveying, CAD (AutoCAD), Concrete Tech, HVAC Design, Procore Software, Geotechnical Engineering, Project Management (Primavera), Facility Management",4,7,89000
71,Avionics Engineer,Defense Analyst,2025-04-05,2025-04-08,2025-05-08,Aerospace & Defense,Annaba,Master,17,Alternance,8,"Mission Planning, Aerospace Materials, Satellite Communications, Radar Systems, Systems Engineering, Avionics Systems, ITAR Compliance",0,1,162000
72,Fleet Coordinator,Fleet Coordinator,2025-03-16,2025-04-03,2025-05-03,Transport & Logistics,Tiaret,Ingénieur d'État,18,Freelance,10,"Inventory Control, Transportation Modeling, Shipment Tracking, Last-Mile Delivery, TMS Software, Customs Compliance, Logistics Automation, SCM ERP Systems, Distribution Strategy, Logistics Planning, Warehouse Management Systems",4,5,86000
73,Fleet Coordinator,Customs Compliance Officer,2025-04-05,2025-04-27,2025-05-27,Transport & Logistics,Oran,Master,17,CDI,5,"Customs Compliance, Logistics Analytics, Logistics Planning, Logistics Costing, Logistics Automation, Fleet Management, Warehouse Management Systems, SCM ERP Systems, Shipment Tracking, Transportation Modeling, Reverse Logistics, Cold Chain Logistics, Inventory Control, Supply Chain Optimization",6,9,90000
74,Sound Designer,Video Editor,2025-03-30,2025-04-11,2025-05-11,Media & Entertainment,Souk Ahras,Master,17,Alternance,1,"CDN Management, Social Media Algorithms, Audience Analytics (Nielsen), Sports Broadcasting, Music Production (Ableton), Media Planning, Ad Tech (Programmatic), Newsroom Automation",0,2,72000
75,UX/UI Designer,Marketplace Coordinator,2025-04-01,2025-04-01,2025-05-01,E-Commerce,Blida,Ingénieur d'État,18,Alternance,5,"Cross-Border E-Commerce, Influencer Marketing, Marketplace Management (Amazon/eBay), Headless Commerce, Subscription Models, Returns Management, A/B Testing",0,1,84000
76,Medical Technologist,Clinical Researcher,2025-04-14,2025-04-19,2025-05-19,Healthcare,Algiers,Master,17,Freelance,9,"Health Informatics, Remote Monitoring, AI Diagnostics, Biomedical Engineering, Medical Device Regulation, Health Insurance, HIPAA Compliance, Mental Health Apps, Health Economics, Genomics, Healthcare Analytics, Surgical Robotics, EHR Systems, Medical Coding",6,9,80000
77,Irrigation Specialist,Agronomist,2025-04-14,2025-05-10,2025-06-09,Agriculture,Tiaret,No Formal Education,0,Freelance,4,"Agricultural Policy, AgriTech Solutions, Hydroponics",0,1,24000
78,Procurement Officer,Digital Services Manager,2025-04-20,2025-05-02,2025-06-01,Public Sector,Medea,Doctorat,20,CDI,2,"E-Government Solutions, Freedom of Information, Municipal Budgeting, Citizen Engagement, Public Finance, Legislative Drafting, IT for Government, Public Health Policy, Social Program Management, Government Procurement, Public Policy Analysis, Government CRM, Government Auditing, Civic Tech, Digital Identity Systems",8,10,70000
79,Policy Analyst,Procurement Officer,2025-04-22,2025-05-08,2025-06-07,Public Sector,Constantine,Ingénieur d'État,18,Internship,1,"Urban Planning, Social Program Management, Citizen Engagement, Civic Tech, Regulatory Compliance, Open Data Platforms, Municipal Budgeting",0,1,59000
80,Quality Assurance Officer,Aquaculture Technician,2025-02-17,2025-03-03,2025-04-02,Fisheries,Tiaret,Licence,15,Freelance,1,"Water Quality Management, Sustainable Fishing Techniques, Cold Chain for Seafood, Fisheries Economics, Fish Stock Assessment, Hatchery Operations, Fisheries Regulations, Seafood Traceability, Biosecurity in Aquaculture",2,4,40000
81,Procurement Officer,Procurement Officer,2025-03-21,2025-03-28,2025-04-27,Public Sector,Algiers,Master,17,CDI,5,"Government Procurement, Public Sector Accounting, Policy Impact Evaluation, Municipal Budgeting, Legislative Drafting, Citizen Engagement, Open Data Platforms, Urban Planning, E-Government Solutions, Public Policy Analysis, Public Finance, Digital Identity Systems, Civic Tech, Government Auditing",6,8,70000
82,Store Manager,Merchandiser,2025-03-23,2025-03-23,2025-04-22,Retail,Mostaganem,Ingénieur d'État,18,Internship,7,"AR Shopping, Retail Chatbots, Personal Shopping AI, Pricing Strategy, Social Commerce, Sustainability, Retail Automation",0,1,50000
83,VFX Artist,Content Producer,2025-04-18,2025-04-30,2025-05-30,Media & Entertainment,Sétif,Licence,15,CDI,2,"Influencer Partnerships, Digital Journalism, Social Media Algorithms, Music Production (Ableton), Digital Rights Management (DRM), Audience Analytics (Nielsen), Metadata Tagging, Motion Graphics (After Effects), Set Design",2,4,62000
84,E-Commerce Manager,UX/UI Designer,2025-03-27,2025-04-04,2025-05-04,E-Commerce,Sétif,Master,17,CDD,1,"Omnichannel Strategy, Supply Chain Analytics, Last-Mile Delivery, Headless Commerce, API Integration (REST/SOAP), GDPR/CCPA Compliance, Shopify/Magento, Cross-Border E-Commerce, Sustainable E-Commerce, Dynamic Pricing, Warehouse Automation (WMS), Social Commerce (TikTok/Instagram), Mobile App Development (React Native)",6,7,100000
85,Quantity Surveyor,Safety Officer,2025-03-28,2025-04-02,2025-05-02,Construction,Biskra,Doctorat,20,Freelance,4,"HVAC Design, Concrete Tech, Land Surveying, Quantity Surveying, Structural Analysis, Road Engineering, Water Management, Prefabrication, Drone Surveying, Lean Construction, Urban Planning, Geotechnical Engineering, Stakeholder Collaboration, Construction Robotics, Safety Audits",8,14,90000
86,VFX Artist,Content Producer,2025-05-02,2025-05-16,2025-06-15,Media & Entertainment,M’sila,No Formal Education,0,Freelance,6,"Social Media Algorithms, Audience Analytics (Nielsen), Set Design",0,1,36000
87,Project Engineer,Safety Officer,2025-04-29,2025-05-23,2025-06-22,Construction,Algiers,Licence,15,Alternance,10,"Safety Standards, Sustainable Design (LEED), Urban Planning, Safety Audits, Prefabrication, IoT for Smart Buildings",0,1,66000
88,Mine Engineer,Geologist,2025-04-07,2025-04-16,2025-05-16,Mining,Biskra,Doctorat,20,CDI,8,"Surface Mining, Mining Automation, Underground Mining Techniques, Mineral Exploration, Mining Economics, Drilling Operations, GIS for Mining, Mine Planning, Ore Processing, Slope Stability Analysis, Geological Mapping, Rock Mechanics, Environmental Impact of Mining, Mineralogy, Blasting Techniques",8,10,160000
