job title,hiring organization,department,seniority level,date posted,valid through,sector,job location,education requirement,type of contract,available posts,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
IT Coordinator,Delmas S.A. EURL,IT Support,Junior,2025-03-28,2025-06-14,Information Technology,El Tarf,Master,CDD,8,"Assurance maladie, Formation continue, Voiture de fonction",65000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",4,7
Facilities Manager,Boutin S.A. SARL,Operations,Mid,2025-04-10,2025-06-27,Construction,Tébessa,Doctorat,Alternance,1,"Formation continue, Télétravail partiel, Assurance maladie",74000,"Report Writing, Project Management, Microsoft Office, Team Leadership, Arabic/French Bilingual",3,14
Production Supervisor,Djezzy,Operations,Chief,2025-04-13,2025-07-05,Construction,Tamanrasset,Ingénieur d'État,CDD,5,"Voiture de fonction, Assurance maladie, Crèche d'entreprise",47000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",1,10
Project Manager,Diaz SARL SARL,General Management,Lead,2025-04-12,2025-07-03,Telecommunications,El Tarf,Master,CDI,15,"Télétravail partiel, Prime de performance, Assurance maladie",137000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",4,5
Project Manager,Lévêque SARL,General Management,Lead,2025-04-07,2025-05-18,Telecommunications,Béchar,Doctorat,Stage,3,"Voiture de fonction, Prime de performance, Crèche d'entreprise",105000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",0,8
Logistics Coordinator,CNAN,Operations,Senior,2025-04-02,2025-05-09,Construction,In Salah,Doctorat,CDD,4,"Tickets restaurant, Épargne entreprise, Prime de performance",101000,"Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management, Team Leadership",5,9
Production Supervisor,Pichon Maury S.A.S. SPA,Operations,Junior,2025-04-03,2025-06-14,Transport & Logistics,Chlef,Ingénieur d'État,CDD,10,"Tickets restaurant, Crèche d'entreprise, Voiture de fonction",122000,"Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership",3,5
Logistics Coordinator,Leclercq SPA,Operations,Mid,2025-04-17,2025-07-09,Mining,Sétif,Licence,Freelance,4,"Tickets restaurant, Prime de performance, Voiture de fonction",40000,"Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",3,13
Facilities Manager,Gautier SARL,Operations,Chief,2025-04-19,2025-06-17,Mining,El Tarf,Ingénieur d'État,CDI,14,"Télétravail partiel, Crèche d'entreprise, Assurance maladie",95000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",0,11
Supply Chain Manager,Gilbert SA SPA,Operations,Senior,2025-04-20,2025-06-05,Retail,Naama,Bac,CDD,14,"Assurance maladie, Épargne entreprise, Télétravail partiel",46000,"Team Leadership, Project Management, Microsoft Office, Report Writing, Arabic/French Bilingual",5,10
Supply Chain Manager,Pascal EURL,Operations,Junior,2025-04-17,2025-06-15,Media & Entertainment,Mostaganem,Bac,CDI,14,"Épargne entreprise, Télétravail partiel, Prime de performance",115000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management",1,6
Team Leader,Boutin S.A. SARL,Retail Banking,Junior,2025-04-20,2025-06-07,Banking & Finance,Tizi Ouzou,Licence,Alternance,12,"Épargne entreprise, Télétravail partiel, Tickets restaurant",60000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",1,15
Team Leader,Ollivier Becker S.A.R.L. SPA,General Management,Senior,2025-04-13,2025-05-29,Retail,Adrar,Master,Alternance,11,"Prime de performance, Crèche d'entreprise, Épargne entreprise",73000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",1,5
Team Leader,Guérin Dumas S.A. SPA,Clinical Operations,Junior,2025-04-16,2025-06-07,Healthcare,Oran,Bac,CDI,11,"Assurance maladie, Crèche d'entreprise, Télétravail partiel",33000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",5,11
Project Manager,Djezzy,General Management,Senior,2025-04-24,2025-07-19,Media & Entertainment,Laghouat,Licence,Freelance,7,"Télétravail partiel, Prime de performance, Voiture de fonction",92000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Project Management, Report Writing",4,3
General Director,Mobilis,General Management,Chief,2025-04-04,2025-06-06,Aerospace & Defense,Illizi,Bac,CDI,2,"Télétravail partiel, Prime de performance, Voiture de fonction",101000,"Report Writing, Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual",2,3
Logistics Coordinator,Lucas SPA,Operations,Junior,2025-03-31,2025-06-02,Transport & Logistics,M'sila,Bac,Alternance,9,"Voiture de fonction, Formation continue, Prime de performance",98000,"Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",4,8
Supply Chain Manager,Gauthier SARL,Operations,Junior,2025-04-06,2025-06-03,Pharmaceuticals,Annaba,Bac,Stage,8,"Crèche d'entreprise, Tickets restaurant, Épargne entreprise",130000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",1,5
Department Director,Naftal,Hospital Administration,Junior,2025-03-26,2025-06-14,Healthcare,Tindouf,Ingénieur d'État,Stage,15,"Prime de performance, Télétravail partiel, Crèche d'entreprise",140000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",4,3
Department Director,Buisson SPA,Vocational Training,Chief,2025-04-20,2025-06-28,Education,Tamanrasset,Licence,CDI,9,"Assurance maladie, Prime de performance, Voiture de fonction",114000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",0,11
Project Manager,Cosider,General Management,Chief,2025-04-20,2025-07-12,Mining,Tamanrasset,Licence,Alternance,6,"Formation continue, Voiture de fonction, Épargne entreprise",98000,"Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing",5,7
Project Manager,Lucas SPA,General Management,Chief,2025-04-24,2025-07-04,Fisheries,Mostaganem,Doctorat,Stage,4,"Télétravail partiel, Formation continue, Prime de performance",69000,"Project Management, Report Writing, Team Leadership, Arabic/French Bilingual, Microsoft Office",1,8
Operations Manager,Lefèvre Couturier S.A.R.L. EURL,Operations,Senior,2025-04-15,2025-06-10,Tourism & Hospitality,Blida,Ingénieur d'État,Alternance,5,"Tickets restaurant, Assurance maladie, Prime de performance",46000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",1,9
General Director,CNAN,General Management,Junior,2025-04-15,2025-07-03,Fisheries,Saïda,Ingénieur d'État,Alternance,7,"Tickets restaurant, Assurance maladie, Prime de performance",73000,"Team Leadership, Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management",2,4
Administrative Manager,SNVI,General Management,Senior,2025-04-22,2025-05-31,Retail,Sétif,Bac,CDD,15,"Voiture de fonction, Télétravail partiel, Formation continue",94000,"Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership, Report Writing",2,5
General Director,Gomez SARL,Agronomy Research,Lead,2025-04-17,2025-06-29,Agriculture,Annaba,Licence,Alternance,14,"Télétravail partiel, Prime de performance, Épargne entreprise",120000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing, Project Management",3,13
Administrative Manager,Marchal S.A.S. SPA,Pharmaceutical Development,Chief,2025-03-27,2025-05-07,Healthcare,Chlef,Ingénieur d'État,Stage,13,"Tickets restaurant, Crèche d'entreprise, Prime de performance",124000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",0,10
Department Director,Algérie Télécom,Islamic Finance,Lead,2025-03-30,2025-05-13,Banking & Finance,Tindouf,Ingénieur d'État,Alternance,10,"Voiture de fonction, Épargne entreprise, Prime de performance",91000,"Risk Sharing Models, Murabaha Transactions, Islamic Banking Products, Sukuk Structuring, Takaful Operations, Sharia Compliance",3,15
Team Leader,Joseph SARL,Islamic Finance,Lead,2025-04-10,2025-06-23,Banking & Finance,Oran,Bac,CDD,5,"Crèche d'entreprise, Formation continue, Prime de performance",62000,"Sukuk Structuring, Risk Sharing Models, Sharia Compliance, Murabaha Transactions, Takaful Operations, Islamic Banking Products",5,13
Operations Manager,Cosider,General Management,Lead,2025-04-16,2025-06-04,Construction,Tizi Ouzou,Licence,Alternance,6,"Formation continue, Prime de performance, Épargne entreprise",126000,"Project Management, Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office",3,6
Service Desk Manager,Duhamel S.A.R.L. SPA,IT Support,Senior,2025-04-06,2025-05-26,Information Technology,El Tarf,Ingénieur d'État,CDD,2,"Épargne entreprise, Formation continue, Télétravail partiel",35000,"Team Leadership, Report Writing, Project Management, Microsoft Office, Arabic/French Bilingual",1,5
General Director,Marchal S.A.S. SPA,General Management,Chief,2025-04-17,2025-06-10,Renewable Energy,Tamanrasset,Bac,Stage,7,"Formation continue, Épargne entreprise, Assurance maladie",141000,"Team Leadership, Report Writing, Arabic/French Bilingual, Project Management, Microsoft Office",0,4
AI Researcher,Gauthier SARL,Data Science & AI,Chief,2025-04-11,2025-06-10,Information Technology,Tébessa,Bac,Alternance,14,"Télétravail partiel, Prime de performance, Formation continue",146000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing",1,3
Team Leader,Sonalgaz,E-Learning Platforms,Senior,2025-04-20,2025-07-11,Education,Djanet,Ingénieur d'État,CDD,2,"Crèche d'entreprise, Voiture de fonction, Tickets restaurant",141000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",3,14
Production Supervisor,Loiseau et Fils EURL,Operations,Senior,2025-04-06,2025-07-05,Transport & Logistics,In Salah,Bac,CDI,15,"Tickets restaurant, Formation continue, Prime de performance",106000,"Microsoft Office, Project Management, Team Leadership, Report Writing, Arabic/French Bilingual",5,3
Department Director,Garcia EURL,General Management,Senior,2025-03-28,2025-05-19,Manufacturing,Tiaret,Licence,Stage,7,"Formation continue, Prime de performance, Crèche d'entreprise",106000,"Report Writing, Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office",3,8
Project Manager,Pereira SARL,Islamic Finance,Chief,2025-04-13,2025-05-30,Banking & Finance,Blida,Master,Stage,15,"Prime de performance, Voiture de fonction, Télétravail partiel",129000,"Sharia Compliance, Takaful Operations, Sukuk Structuring, Islamic Banking Products, Murabaha Transactions, Risk Sharing Models",0,13
Supply Chain Manager,Marchal S.A.S. SPA,Operations,Senior,2025-03-31,2025-06-28,Pharmaceuticals,Aïn Témouchent,Licence,Alternance,9,"Épargne entreprise, Voiture de fonction, Formation continue",70000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Project Management, Report Writing",1,13
Logistics Coordinator,Mobilis,Operations,Mid,2025-04-10,2025-05-27,Media & Entertainment,In Salah,Ingénieur d'État,CDD,12,"Crèche d'entreprise, Assurance maladie, Prime de performance",44000,"Project Management, Team Leadership, Microsoft Office, Arabic/French Bilingual, Report Writing",5,6
Project Manager,Sonalgaz,General Management,Mid,2025-03-26,2025-05-10,Public Sector,Tizi Ouzou,Master,Stage,14,"Épargne entreprise, Formation continue, Prime de performance",80000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",5,4
Production Supervisor,Djezzy,Operations,Junior,2025-04-15,2025-06-23,Media & Entertainment,Tébessa,Master,CDI,1,"Prime de performance, Épargne entreprise, Assurance maladie",94000,"Project Management, Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office",0,8
Operations Manager,Olivier SPA,General Management,Mid,2025-04-14,2025-06-21,Renewable Energy,Skikda,Doctorat,Stage,9,"Tickets restaurant, Formation continue, Assurance maladie",80000,"Project Management, Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office",5,15
Administrative Manager,Barbier SPA,General Management,Lead,2025-03-27,2025-06-03,Media & Entertainment,In Salah,Bac,Freelance,10,"Télétravail partiel, Crèche d'entreprise, Voiture de fonction",33000,"Microsoft Office, Report Writing, Team Leadership, Project Management, Arabic/French Bilingual",2,5
Operations Manager,Diaz SARL SARL,Operations,Chief,2025-04-22,2025-06-04,Manufacturing,El Oued,Ingénieur d'État,Stage,10,"Épargne entreprise, Tickets restaurant, Prime de performance",101000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership, Project Management",4,13
Operations Manager,Lefèvre Couturier S.A.R.L. EURL,General Management,Chief,2025-04-02,2025-06-28,Manufacturing,Tiaret,Master,Alternance,6,"Voiture de fonction, Télétravail partiel, Crèche d'entreprise",71000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",4,7
Department Director,Lucas EURL,General Management,Lead,2025-04-12,2025-05-19,Tourism & Hospitality,Ouargla,Ingénieur d'État,Alternance,4,"Formation continue, Télétravail partiel, Épargne entreprise",57000,"Report Writing, Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office",1,3
General Director,Ollivier Becker S.A.R.L. SPA,General Management,Lead,2025-04-05,2025-06-08,Construction,El Tarf,Master,CDI,12,"Tickets restaurant, Télétravail partiel, Assurance maladie",64000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",1,15
Administrative Manager,Bernard Petitjean SA SPA,Sustainable Farming,Chief,2025-04-04,2025-06-27,Agriculture,In Salah,Doctorat,CDD,3,"Prime de performance, Télétravail partiel, Assurance maladie",108000,"Agroecology, Permaculture Design, Organic Certification, Soil Health Management, Water Conservation, Precision Agriculture",4,12
Administrative Manager,Louis SARL,Food Processing,Junior,2025-04-04,2025-05-26,Agriculture,Batna,Master,Freelance,11,"Télétravail partiel, Prime de performance, Épargne entreprise",142000,"Project Management, Microsoft Office, Team Leadership, Report Writing, Arabic/French Bilingual",2,4
Project Manager,Mahe Boyer S.A.R.L. SARL,General Management,Senior,2025-04-17,2025-07-06,Aerospace & Defense,Illizi,Doctorat,Freelance,13,"Voiture de fonction, Crèche d'entreprise, Télétravail partiel",148000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",3,15
Supply Chain Manager,Algérie Télécom,Operations,Chief,2025-04-16,2025-06-15,Mining,Blida,Master,Alternance,2,"Crèche d'entreprise, Prime de performance, Voiture de fonction",84000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Team Leadership, Project Management",4,10
Operations Manager,Maillard S.A. SPA,General Management,Senior,2025-04-06,2025-06-03,Fisheries,In Salah,Licence,CDD,6,"Assurance maladie, Tickets restaurant, Prime de performance",26000,"Microsoft Office, Report Writing, Arabic/French Bilingual, Team Leadership, Project Management",3,8
Team Leader,Lefèvre Couturier S.A.R.L. EURL,General Management,Lead,2025-04-23,2025-06-24,Aerospace & Defense,Tiaret,Licence,CDD,1,"Crèche d'entreprise, Prime de performance, Formation continue",116000,"Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual, Report Writing",2,14
Supply Chain Manager,Gilbert SA SPA,Operations,Senior,2025-04-05,2025-06-18,E-Commerce,Béjaïa,Bac,Freelance,4,"Tickets restaurant, Épargne entreprise, Voiture de fonction",75000,"Project Management, Report Writing, Team Leadership, Microsoft Office, Arabic/French Bilingual",0,12
Petroleum Engineer,Buisson SPA,Exploration & Production,Senior,2025-03-28,2025-05-17,Energy & Petroleum,In Salah,Doctorat,CDD,13,"Formation continue, Voiture de fonction, Crèche d'entreprise",57000,"HYSYS, Drilling Optimization, Well Logging, Petrel Software, Reservoir Simulation, Enhanced Oil Recovery, Geological Modeling",4,11
Operations Manager,Barbier Guillot S.A.R.L. SPA,Operations,Mid,2025-04-11,2025-06-03,Mining,Annaba,Bac,CDD,7,"Épargne entreprise, Assurance maladie, Formation continue",40000,"Microsoft Office, Project Management, Report Writing, Team Leadership, Arabic/French Bilingual",0,15
Production Supervisor,Maillard S.A. SPA,Operations,Lead,2025-04-20,2025-05-27,Manufacturing,Béjaïa,Ingénieur d'État,CDD,3,"Crèche d'entreprise, Formation continue, Télétravail partiel",124000,"Team Leadership, Arabic/French Bilingual, Report Writing, Project Management, Microsoft Office",2,9
Department Director,Marchal S.A.S. SPA,General Management,Senior,2025-04-21,2025-07-04,Fisheries,Béchar,Ingénieur d'État,CDI,9,"Prime de performance, Télétravail partiel, Assurance maladie",39000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",1,14
General Director,Duhamel S.A.R.L. SPA,General Management,Senior,2025-04-15,2025-06-28,Renewable Energy,Chlef,Master,Alternance,5,"Voiture de fonction, Télétravail partiel, Épargne entreprise",134000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing, Project Management",3,4
Administrative Manager,Duhamel S.A.R.L. SPA,Research & Development,Junior,2025-03-31,2025-06-16,Education,Ghardaïa,Master,CDI,9,"Voiture de fonction, Prime de performance, Assurance maladie",120000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",2,14
Production Supervisor,Sonalgaz,Operations,Chief,2025-04-13,2025-07-02,Public Sector,Djanet,Licence,Stage,7,"Télétravail partiel, Épargne entreprise, Formation continue",40000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",4,13
General Director,Blanchard SPA,Agronomy Research,Lead,2025-04-05,2025-07-01,Agriculture,Illizi,Licence,CDI,9,"Voiture de fonction, Prime de performance, Épargne entreprise",99000,"Microsoft Office, Project Management, Arabic/French Bilingual, Report Writing, Team Leadership",3,11
Operations Supervisor,Bertrand Caron SA SPA,Pipeline Management,Lead,2025-04-17,2025-05-25,Energy & Petroleum,Tizi Ouzou,Bac,Freelance,14,"Voiture de fonction, Prime de performance, Crèche d'entreprise",111000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",1,7
Facilities Manager,Maurice Hoareau et Fils SPA,Operations,Chief,2025-04-23,2025-06-16,Public Sector,Ghardaïa,Master,Alternance,1,"Crèche d'entreprise, Voiture de fonction, Télétravail partiel",44000,"Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",2,10
Operations Manager,Bigot Henry SARL EURL,General Management,Junior,2025-04-20,2025-07-14,Renewable Energy,Constantine,Licence,CDI,3,"Assurance maladie, Épargne entreprise, Voiture de fonction",77000,"Arabic/French Bilingual, Microsoft Office, Team Leadership, Project Management, Report Writing",2,14
Logistics Coordinator,Olivier SPA,Operations,Senior,2025-04-02,2025-06-20,Fisheries,Béjaïa,Licence,Alternance,6,"Épargne entreprise, Formation continue, Télétravail partiel",131000,"Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual, Project Management",1,6
General Director,ENIE,General Management,Lead,2025-04-03,2025-05-27,E-Commerce,Sétif,Licence,CDI,7,"Assurance maladie, Crèche d'entreprise, Tickets restaurant",140000,"Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual, Team Leadership",3,10
Team Leader,Algérie Télécom,General Management,Mid,2025-04-18,2025-07-07,Manufacturing,Tlemcen,Master,Freelance,1,"Assurance maladie, Épargne entreprise, Voiture de fonction",61000,"Report Writing, Team Leadership, Project Management, Microsoft Office, Arabic/French Bilingual",3,15
Supply Chain Manager,Pichon Maury S.A.S. SPA,Operations,Chief,2025-04-03,2025-06-12,Tourism & Hospitality,Saïda,Ingénieur d'État,CDI,9,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise",44000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management, Report Writing",3,14
Production Supervisor,Sanchez SARL EURL,Operations,Lead,2025-04-21,2025-06-27,Transport & Logistics,El Tarf,Licence,CDD,8,"Formation continue, Crèche d'entreprise, Prime de performance",138000,"Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office, Team Leadership",1,4
Operations Manager,Manadjim El Djazaïr,General Management,Mid,2025-04-15,2025-06-20,Tourism & Hospitality,Béchar,Master,Stage,7,"Formation continue, Voiture de fonction, Prime de performance",127000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",3,6
General Director,Gautier SARL,General Management,Junior,2025-03-30,2025-05-18,Retail,Mostaganem,Ingénieur d'État,Freelance,10,"Voiture de fonction, Assurance maladie, Tickets restaurant",36000,"Arabic/French Bilingual, Project Management, Microsoft Office, Team Leadership, Report Writing",1,15
Operations Manager,Lebreton EURL,Operations,Junior,2025-04-02,2025-06-08,Pharmaceuticals,Mostaganem,Bac,Freelance,2,"Télétravail partiel, Tickets restaurant, Épargne entreprise",122000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",5,14
Facilities Manager,ENIE,Operations,Junior,2025-03-27,2025-06-16,Construction,Béchar,Ingénieur d'État,CDI,8,"Crèche d'entreprise, Prime de performance, Assurance maladie",117000,"Arabic/French Bilingual, Project Management, Report Writing, Team Leadership, Microsoft Office",1,14
Facilities Manager,Lucas SPA,Operations,Mid,2025-04-05,2025-06-25,Tourism & Hospitality,Tindouf,Bac,Freelance,2,"Formation continue, Assurance maladie, Voiture de fonction",65000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",3,7
Project Manager,Air Algérie,General Management,Chief,2025-04-12,2025-05-29,E-Commerce,Sétif,Master,Alternance,6,"Prime de performance, Télétravail partiel, Tickets restaurant",116000,"Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing, Team Leadership",4,8
Team Leader,Roux SARL SPA,General Management,Junior,2025-04-24,2025-07-22,Media & Entertainment,Algiers,Bac,Stage,5,"Assurance maladie, Formation continue, Épargne entreprise",83000,"Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership",4,13
Team Leader,CEVITAL,General Management,Junior,2025-04-23,2025-07-04,Retail,Timimoun,Master,Stage,6,"Assurance maladie, Tickets restaurant, Télétravail partiel",127000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",3,13
General Director,Sonatrach,General Management,Mid,2025-03-31,2025-06-23,Manufacturing,Tlemcen,Licence,CDI,9,"Tickets restaurant, Assurance maladie, Prime de performance",46000,"Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office, Project Management",1,6
Operations Manager,Ollivier Becker S.A.R.L. SPA,Operations,Chief,2025-04-05,2025-06-19,Manufacturing,Annaba,Licence,Stage,3,"Prime de performance, Voiture de fonction, Télétravail partiel",88000,"Report Writing, Microsoft Office, Team Leadership, Project Management, Arabic/French Bilingual",0,4
IT Support Specialist,Pichon Maury S.A.S. SPA,IT Support,Senior,2025-04-09,2025-06-26,Information Technology,Chlef,Bac,CDD,15,"Crèche d'entreprise, Prime de performance, Formation continue",100000,"Project Management, Arabic/French Bilingual, Team Leadership, Report Writing, Microsoft Office",2,15
Department Director,Maillard S.A. SPA,General Management,Chief,2025-03-28,2025-05-15,Manufacturing,Blida,Licence,Freelance,1,"Assurance maladie, Prime de performance, Télétravail partiel",134000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Project Management, Team Leadership",0,6
Operations Manager,Pereira SARL,General Management,Lead,2025-03-26,2025-06-05,Telecommunications,Skikda,Doctorat,Alternance,15,"Prime de performance, Épargne entreprise, Télétravail partiel",92000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",1,5
