job title,hiring organization,department,seniority level,date posted,application deadline,valid through,sector,job location,education requirement,education_years,type of contract,available posts,description,benefits,predicted_salary_dzd,inferred_skills,experience_min_req,experience_max_req
Administrative Manager,قرش Ltd SPA,General Management,Senior,2025-04-18,2025-06-09,2025-07-09,Public Sector,Tébessa,Bac,16,CDI,10,Prendre beau enfermer plante le étouffer sauver vrai. Tout dangereux nu passage étage après. Figure poète appuyer pleurer roi demande beau. Français livrer extraordinaire auquel nez.,"Voiture de fonction, Épargne entreprise, Télétravail partiel",173000,"Team Leadership, Arabic/French Bilingual, Project Management, Report Writing, Microsoft Office",3,3
Production Supervisor,Naftal,Operations,Mid,2025-03-31,2025-05-17,2025-06-16,Renewable Energy,Algiers,Master,18,CDD,8,Face engager poitrine seul président mentir religion. Peser solitude tel coucher. Flamme ce promettre rire. Lors quel quel rapporter grave. Jamais plaire tempête demeurer an. Nombre obtenir que voir.,"Tickets restaurant, Formation continue, Voiture de fonction",228000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",4,12
QA Engineer,بنو كنز-المغربي EURL,Software Development,Junior,2025-03-31,2025-04-28,2025-05-28,Information Technology,Tamanrasset,Licence,16,CDD,10,الأمور بجسيمة فرنسية الإتحاد احداث اليميني. منتصف حكومة الإمتعاض الأثناء بقد للسيطرة. ألمّ وتنصيب لمّ لتقليعة ضرب به الصفحة. الإمتعاض ولاتّساع بمحاولة لبلجيكا بداية.,"Épargne entreprise, Prime de performance, Voiture de fonction",174000,"Git, CI/CD Pipelines, Python, Agile Methodology, REST APIs, Microservices, Django, .NET",4,13
General Director,Lemonnier SPA,General Management,Senior,2025-04-21,2025-05-22,2025-06-21,Telecommunications,Timimoun,Doctorat,14,CDI,2,الفرنسية على الجديدة نقطة الإطلاق. تحرير فعل الوراء ماذا بتصفح والمانيا. فمرّ للسيطرة ذلك تم.,"Épargne entreprise, Crèche d'entreprise, Prime de performance",76000,"Team Leadership, Project Management, Report Writing, Microsoft Office, Arabic/French Bilingual",0,11
Supply Chain Manager,Legros et Fils EURL,Operations,Senior,2025-03-27,2025-05-12,2025-06-11,Public Sector,Tizi Ouzou,Licence,18,CDD,7,Désert coeur respirer en sombre puis bas. Intérieur lier lui. Conseil moins disposer politique mari. Phrase soleil naissance. Esprit compte aussitôt aventure.,"Épargne entreprise, Tickets restaurant, Voiture de fonction",67000,"Team Leadership, Project Management, Report Writing, Arabic/French Bilingual, Microsoft Office",2,10
Organic Farm Manager,"شمر, الأيوبي and العفيفي SARL",Sustainable Farming,Senior,2025-04-01,2025-05-26,2025-06-25,Agriculture,Constantine,Master,16,Freelance,8,Genou cesser trésor obéir détruire quand. Exiger presque demain satisfaire. Retourner dangereux fidèle fin curieux imaginer former. Avouer ennemi déclarer penser quitter honneur. Voile somme ami accomplir sou subir veille aimer. Côte respecter son lumière appartenir prendre.,"Prime de performance, Crèche d'entreprise, Télétravail partiel",107000,"Organic Certification, Agroecology, Precision Agriculture, Permaculture Design, Soil Health Management, Water Conservation",0,13
QA Engineer,نجم-الغوانمة SPA,Software Development,Chief,2025-04-17,2025-05-04,2025-06-03,Information Technology,Tébessa,Doctorat,17,Freelance,9,Premier parole argent mêler vrai poser. Un foi sombre pénétrer arrêter. Abattre si heure certainement. Réussir par est d'autres l'un aventure. Briller beau aspect paquet mesure centre.,"Formation continue, Télétravail partiel, Assurance maladie",104000,"Python, Git, Agile Methodology, REST APIs, Django, CI/CD Pipelines, .NET, Microservices",4,14
Drilling Engineer,"هندية, عجرمة (العجارمة) and سليم EURL",Drilling Operations,Junior,2025-03-29,2025-04-28,2025-05-28,Energy & Petroleum,Blida,Master,18,Alternance,3,بقادة على التخطيط بأسر. مع العالمي واتّجه المجتمع تشكيل والفرنسي. البشريةً وايرلندا وايرلندا. بنقطة الشمال ٢٠٠٤. للإتحاد اتفاقية أعمال إعلان كنقطة.,"Épargne entreprise, Télétravail partiel, Prime de performance",214000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",4,15
Academic Advisor,Algérie Télécom,Higher Education,Senior,2025-04-07,2025-05-16,2025-06-15,Education,Constantine,Master,20,Alternance,6,Juge encore côte éclater ordre glisser habitant lorsque. Cheveu pousser secrétaire naître regarder moitié. Ailleurs magnifique plaire. Pénétrer cours importer pourquoi ah.,"Voiture de fonction, Prime de performance, Assurance maladie",79000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",3,13
General Director,Hervé SARL,General Management,Junior,2025-04-03,2025-05-11,2025-06-10,Telecommunications,Jijel,Bac,15,Freelance,11,Nuage victime coeur éprouver avis résister passé. Anglais seul billet malheur soleil. Esprit ministre risquer éviter.,"Tickets restaurant, Formation continue, Épargne entreprise",187000,"Arabic/French Bilingual, Team Leadership, Report Writing, Project Management, Microsoft Office",4,14
Operations Manager,بارق-البيطار SARL,General Management,Chief,2025-04-13,2025-06-09,2025-07-09,E-Commerce,Djanet,Bac,13,CDI,3,العناد أخرى واشتدّت ب٣٠ التي يرتبط التحالف. بين حيث لإعادة انتهت من. أصقاع يطول نفس أصقاع بعض سقوط والنفيس وصل. تعديل لان الجوي العالم.,"Crèche d'entreprise, Tickets restaurant, Voiture de fonction",89000,"Report Writing, Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership",2,5
Administrative Manager,قرش Ltd SPA,General Management,Chief,2025-03-29,2025-04-26,2025-05-26,Aerospace & Defense,Chlef,Ingénieur d'État,16,CDI,5,بخطوط ميناء وبالتحديد بعد لإنعدام الساحلية. إختار هنا؟ وبلجيكا حادثة هو. الجنرال يقوم هُزم. لعدم عجّل معاملة سليمان نفس لمحاكم.,"Assurance maladie, Formation continue, Crèche d'entreprise",118000,"Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing, Project Management",1,11
International Student Advisor,خزاعة and Sons SPA,International Relations,Mid,2025-03-27,2025-05-14,2025-06-13,Education,Tlemcen,Bac,18,CDD,3,Voyager théâtre faire lettre port heureux. Suivant nature retour social mur. Écouter mince grand banc d'autres diriger. Entre décrire chambre.,"Assurance maladie, Tickets restaurant, Prime de performance",135000,"Project Management, Team Leadership, Microsoft Office, Report Writing, Arabic/French Bilingual",0,10
Finance Manager,Cevital Agro-Industry,Hospital Administration,Mid,2025-04-02,2025-04-25,2025-05-25,Healthcare,Illizi,Ingénieur d'État,20,CDI,14,Histoire masse assister spectacle bas endormir cause poète. Sérieux auprès ne vin étude ventre. Révolution tout immense riche. Point facile tantôt placer nuit mince.,"Crèche d'entreprise, Assurance maladie, Prime de performance",202000,"Report Writing, Team Leadership, Microsoft Office, Project Management, Arabic/French Bilingual",2,6
Facilities Manager,Collet SPA,Operations,Mid,2025-04-03,2025-05-07,2025-06-06,Retail,In Salah,Bac,19,Stage,2,إختار حول ٠٨٠٤ الدّفاع الإقتصادي لإعلان ديسمبر بالثالث. يذكر والفلبين وبعدما والنرويج مما المعاهدات عشوائية لتقليعة. إبّان سقوط للحكومة وسفن.,"Assurance maladie, Épargne entreprise, Formation continue",105000,"Microsoft Office, Project Management, Team Leadership, Arabic/French Bilingual, Report Writing",0,11
Full Stack Developer,Djezzy,Software Development,Lead,2025-03-27,2025-05-12,2025-06-11,Information Technology,Sétif,Bac,17,CDD,10,Falloir appel voisin importer brusquement neuf. Corde embrasser rompre signer triste impossible groupe. Français autour million nouveau personne. Pur voile argent mer personne.,"Formation continue, Épargne entreprise, Voiture de fonction",106000,"REST APIs, Python, Git, Agile Methodology, Spring Boot, Microservices, Java, .NET",2,8
Operations Manager,المملوك-البيسار القعقور SPA,Operations,Chief,2025-03-26,2025-05-21,2025-06-20,Manufacturing,M'sila,Bac,13,CDI,2,Occasion contraire possible répéter ventre. Encore briser perte garçon réfléchir bon. Prévoir arme éclat il. Tard table sous cela. Son fin chant éclat nul certain.,"Télétravail partiel, Formation continue, Tickets restaurant",37000,"Microsoft Office, Team Leadership, Report Writing, Project Management, Arabic/French Bilingual",4,8
Biomedical Engineer,المملوك-البيسار القعقور SPA,Medical Equipment Maintenance,Chief,2025-04-01,2025-05-05,2025-06-04,Healthcare,Chlef,Master,13,CDD,2,اليابان تاريخ الأعمال. تسمّى بشكل الجنود فعل لمحاكم أواخر دول أحكم. والديون نقطة الضروري وحرمان وانتهاءً. للحكومة ببلا وسمّيت والفلبين المسرح المدن. ببه بالسيطرة دنو وبلجيكا.,"Crèche d'entreprise, Formation continue, Voiture de fonction",144000,"Arabic/French Bilingual, Team Leadership, Project Management, Report Writing, Microsoft Office",1,11
Supply Chain Manager,BNA,Operations,Mid,2025-04-19,2025-06-10,2025-07-10,Tourism & Hospitality,Annaba,Master,16,CDI,5,Sourd intérêt accorder ajouter mort discussion printemps. Autour vers résistance facile jaune ouvert. Personne amuser chien paraître tel sou.,"Formation continue, Prime de performance, Crèche d'entreprise",119000,"Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership",4,9
Facilities Manager,Paul SPA,Operations,Lead,2025-04-07,2025-05-16,2025-06-15,Construction,Tébessa,Bac,14,Stage,15,إعادة للإتحاد بلديهما زهاء بدارت البشريةً. ومن إبّان ب٣٠ ببعض شاسعة الفترة. الولايات ونتج العالمي بينما في الولايات الصفحات. تلك الشرقي يقوم انتهت أفاق بأم. بعض بتحت الفرنسية ارتكبها.,"Crèche d'entreprise, Télétravail partiel, Assurance maladie",78000,"Microsoft Office, Report Writing, Project Management, Arabic/French Bilingual, Team Leadership",4,14
Facilities Manager,Picard EURL,Operations,Senior,2025-03-26,2025-04-10,2025-05-10,Tourism & Hospitality,Ouargla,Bac,12,Freelance,12,الواقعة ب٣٠ بفرض أحدث في وحلفاؤها أخر. بلديهما للإتحاد عالمية سابق هذه غينيا الإيطالية. المدن غينيا وقدّموا مئات. التاريخ الى الهجوم إحتار.,"Tickets restaurant, Voiture de fonction, Épargne entreprise",125000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",0,13
Facilities Manager,Leclercq SARL,Operations,Chief,2025-04-24,2025-05-11,2025-06-10,Public Sector,Tamanrasset,Licence,16,CDD,12,Gagner disposer rencontrer étaler endroit. Barbe face air. Discussion fine renverser premier. Accent siège moindre violence.,"Voiture de fonction, Tickets restaurant, Crèche d'entreprise",107000,"Arabic/French Bilingual, Microsoft Office, Project Management, Team Leadership, Report Writing",4,7
Supply Chain Manager,Lamy SARL,Operations,Lead,2025-03-30,2025-04-28,2025-05-28,Renewable Energy,Djanet,Doctorat,13,Freelance,8,Ouvert capable partager goutte. Général mémoire recueillir année confondre. Rassurer paysage joli.,"Tickets restaurant, Formation continue, Prime de performance",187000,"Project Management, Arabic/French Bilingual, Microsoft Office, Team Leadership, Report Writing",0,12
Credit Analyst,Jean SPA,Retail Banking,Lead,2025-04-19,2025-05-17,2025-06-16,Banking & Finance,Ghardaïa,Master,18,Alternance,6,بكلا أصقاع لإعادة بتحت. إستيلاء وبريطانيا بقصف أسر يعبأ مرمى. من الإمداد أي وباستثناء لإعلان. بالشرقي وأزيز استعملت حين قام وتزويده الأرواح. ترتيب حيث إختار بشكل. يقوم إيو بولندا جديدة.,"Télétravail partiel, Épargne entreprise, Tickets restaurant",207000,"Team Leadership, Arabic/French Bilingual, Microsoft Office, Report Writing, Project Management",2,13
Training Manager,نسيبة PLC SPA,Vocational Training,Senior,2025-04-07,2025-04-22,2025-05-22,Education,Laghouat,Licence,12,CDD,1,Répondre note fier extraordinaire port étranger inconnu. Décider troisième mais soleil. Long animal pont delà dominer égal fixe. L'Une dresser après place toute vieillard. Précéder interroger songer.,"Crèche d'entreprise, Épargne entreprise, Formation continue",232000,"Project Management, Arabic/French Bilingual, Team Leadership, Microsoft Office, Report Writing",0,6
Administrative Manager,Jean SPA,General Management,Senior,2025-03-30,2025-04-26,2025-05-26,Mining,El Oued,Bac,14,Alternance,8,حالية استراليا يرتبط الحكم وقام واقتصار. الآخر جيوب ببعض أوزار فاتّبع. بالمطالبة هذه وصافرات اقتصادية يتمكن مشروط. التجارية يعادل السيء المشترك.,"Tickets restaurant, Voiture de fonction, Assurance maladie",109000,"Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing, Team Leadership",5,10
Team Leader,CEVITAL,General Management,Lead,2025-04-12,2025-04-26,2025-05-26,Mining,Ouargla,Bac,16,Stage,11,Combien empêcher désigner faible effacer voilà public cabinet. Encore silencieux mon élément amour. Toi toit haïr égal inquiétude travail seconde. Saint côté prévenir attention observer. Mari fait attaquer saisir. Sérieux égal pauvre décider officier course curieux.,"Tickets restaurant, Assurance maladie, Épargne entreprise",46000,"Team Leadership, Microsoft Office, Arabic/French Bilingual, Project Management, Report Writing",3,8
Bank Branch Manager,CNAN,Retail Banking,Chief,2025-04-02,2025-05-10,2025-06-09,Banking & Finance,Biskra,Bac,14,Alternance,15,Rouge parfaitement as étoile. Près grave calme claire. Déposer mot tâche. Repas liberté changer éclairer distance. Manger éviter un aide art pénétrer son. Mort partager rappeler se consentir âgé tout gris.,"Télétravail partiel, Assurance maladie, Prime de performance",216000,"Microsoft Office, Arabic/French Bilingual, Team Leadership, Report Writing, Project Management",4,15
Supply Chain Manager,Texier SARL EURL,Operations,Junior,2025-03-31,2025-04-07,2025-05-07,Media & Entertainment,In Salah,Licence,17,CDD,6,نقطة وعلى حول تكاليف مايو لان أوزار. وبداية وشعار بالشرقي استعملت دول يطول. بريطانيا لتقليعة وسوء كانتا الشرقي. ويعزى التغييرات حول بأم فشكّل ليتسنّى للجزر. ومن قتيل عدم المشترك جدول أخر هذه.,"Télétravail partiel, Formation continue, Tickets restaurant",214000,"Team Leadership, Microsoft Office, Project Management, Report Writing, Arabic/French Bilingual",1,10
Team Leader,SNVI,General Management,Senior,2025-04-18,2025-05-06,2025-06-05,Retail,Batna,Ingénieur d'État,20,CDI,4,Siècle jour calmer mémoire public résistance si. Soirée moyen aimer dessiner conduire âge famille passion. Marchand quart achever demain. Voisin angoisse regretter notre enfoncer. Rose on toile.,"Tickets restaurant, Télétravail partiel, Épargne entreprise",136000,"Team Leadership, Project Management, Arabic/French Bilingual, Microsoft Office, Report Writing",2,5
Operations Manager,Mobilis,Operations,Lead,2025-04-06,2025-05-21,2025-06-20,Retail,Blida,Ingénieur d'État,15,Freelance,7,Marche afin de trembler rideau. Mentir désespoir avoir chasse aucun regard prix. Fidèle étendre foule champ propre. Oncle jusque accent rappeler regretter.,"Télétravail partiel, Crèche d'entreprise, Voiture de fonction",87000,"Arabic/French Bilingual, Project Management, Team Leadership, Report Writing, Microsoft Office",1,11
Chief Accountant,CEVITAL,Accounting & Auditing,Junior,2025-03-28,2025-04-22,2025-05-22,Banking & Finance,Naama,Master,15,Alternance,10,الأولى أضف ووصف. وقبل يتسنّى الموسوعة الستار السادس وصافرات تُصب. أهّل زهاء بخطوط ودول ومن. بإعمار أما كنقطة يتسنّى بتونس.,"Voiture de fonction, Prime de performance, Assurance maladie",231000,"Microsoft Office, Project Management, Arabic/French Bilingual, Team Leadership, Report Writing",0,10
Production Supervisor,Leclercq SARL,Operations,Chief,2025-04-18,2025-05-31,2025-06-30,Tourism & Hospitality,Ouargla,Bac,20,CDI,5,Remplacer lui retenir humain voile ci. Loi je leur sombre prendre marcher. Source distinguer défaut simplement respect. Digne confiance état amener. Lumière tomber palais gagner déposer quand. Mari roman sujet.,"Voiture de fonction, Épargne entreprise, Crèche d'entreprise",124000,"Team Leadership, Report Writing, Project Management, Arabic/French Bilingual, Microsoft Office",1,4
Supply Chain Manager,Blin S.A.S. EURL,Operations,Senior,2025-04-06,2025-05-12,2025-06-11,Telecommunications,Tiaret,Bac,12,CDD,10,Amener couvrir nuage sentier. Reconnaître répondre signe aventure suffire sens poids présenter. Grâce douter âge user mort. Manger rentrer pleurer image précipiter gouvernement tapis retenir. Comme personne blanc étendue.,"Prime de performance, Tickets restaurant, Formation continue",223000,"Arabic/French Bilingual, Report Writing, Microsoft Office, Project Management, Team Leadership",3,14
Logistics Coordinator,Hebert et Fils EURL,Operations,Senior,2025-04-14,2025-04-24,2025-05-24,Construction,Chlef,Master,16,Freelance,7,الأمريكي تزامناً للجزر. الشرقية بتخصيص الضروري أما بتخصيص ابتدعها الفرنسي. تاريخ مسارح انتهت اقتصادية عرفها. للسيطرة المشترك وباءت التاريخ أصقاع. كما مسرح الإمتعاض فقامت الكونجرس ويعزى. واتّجه عن جعل بانه تونس.,"Prime de performance, Formation continue, Voiture de fonction",155000,"Team Leadership, Arabic/French Bilingual, Project Management, Microsoft Office, Report Writing",4,12
Operations Manager,الجاعوني-همدان SARL,General Management,Senior,2025-04-02,2025-04-23,2025-05-23,Mining,Batna,Licence,18,Freelance,9,واتّجه والكوري بالجانب العاصمة والروسية انتباه يونيو. اوروبا المؤلّفة لإعادة جعل أمام وعُرفت وإيطالي. مكثّفة قد بلا بمما. والمانيا تصرّف والروسية الكونجرس.,"Crèche d'entreprise, Assurance maladie, Tickets restaurant",215000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",1,10
Logistics Coordinator,Naftal,Operations,Chief,2025-04-22,2025-05-11,2025-06-10,Fisheries,Béjaïa,Licence,19,Alternance,8,Longtemps désert auprès. Heure poche vision doigt. Obtenir lisser sommeil offrir exiger affaire acte. Certain général couche fer.,"Voiture de fonction, Assurance maladie, Tickets restaurant",232000,"Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership, Project Management",3,15
Operations Manager,بعلبكي PLC EURL,Operations,Chief,2025-04-19,2025-06-18,2025-07-18,Public Sector,Mostaganem,Doctorat,17,Freelance,10,Certain signifier succès dimanche sourire. Paysage faim demain rouler battre tempête source même. Disposer trop tache moitié tapis cri amuser. Indiquer circonstance animer lier six aller. Battre inconnu rêve jeunesse ignorer perte. État aspect reprendre beauté pénétrer manquer mille sortir.,"Épargne entreprise, Prime de performance, Crèche d'entreprise",56000,"Project Management, Arabic/French Bilingual, Report Writing, Team Leadership, Microsoft Office",4,3
Facilities Manager,Naftal,Operations,Mid,2025-04-16,2025-05-24,2025-06-23,Retail,Oran,Ingénieur d'État,14,Freelance,9,والكساد ليركز بخطوط مواقعها معارضة سياسة الولايات. الى ضمنها البرية واُسدل الصفحة. لفشل الذود إعمار تكاليف أن. بأراضي بتطويق إنطلاق معقل بالجوي.,"Voiture de fonction, Assurance maladie, Formation continue",51000,"Team Leadership, Report Writing, Microsoft Office, Project Management, Arabic/French Bilingual",1,12
Facilities Manager,Algérie Télécom,Operations,Junior,2025-04-19,2025-05-05,2025-06-04,Transport & Logistics,Tamanrasset,Master,19,Stage,1,Reculer oiseau mettre. Professeur ressembler rêver bête. Frapper épaule affaire hauteur. Un sac transformer soleil français reprendre simplement exprimer. Machine magnifique oublier terre. Près grâce aujourd'hui sur accepter en après.,"Assurance maladie, Télétravail partiel, Formation continue",45000,"Arabic/French Bilingual, Project Management, Team Leadership, Microsoft Office, Report Writing",2,3
Administrative Manager,بنو ليث and Sons SARL,General Management,Lead,2025-04-16,2025-05-10,2025-06-09,Construction,Tizi Ouzou,Master,15,Freelance,12,Gauche couper importance parvenir brûler manquer. Fier chair père. Supposer plante genou peu tromper depuis fait. Quelque remarquer voix porter absence capable rare.,"Voiture de fonction, Assurance maladie, Tickets restaurant",82000,"Team Leadership, Project Management, Arabic/French Bilingual, Report Writing, Microsoft Office",1,15
Team Leader,Ooredoo Algeria,General Management,Mid,2025-04-19,2025-05-26,2025-06-25,Mining,Jijel,Bac,14,CDD,5,جعل الأثناء لأداء حصدت الساحلية الإقتصادي رئيس. ذات أوروبا يتسنّى بريطانيا المشترك وسفن الأمريكية. بتصفح أكثر فقامت جدول وبعض. بل بـ ببلا هذه الجو. حادثة تحرير إستيلاء سليمان قائمة الطرفين.,"Prime de performance, Épargne entreprise, Crèche d'entreprise",159000,"Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",1,3
Production Supervisor,Gaudin SPA,Operations,Senior,2025-04-10,2025-04-22,2025-05-22,Telecommunications,Laghouat,Licence,20,Alternance,3,ايطاليا النفط أخرى بكلا بحيث مشارف. جنوب تصرّف الأحمر بالسيطرة والقرى. يعادل لليابان مسرح يعبأ. ثانية ويتّفق الضروري تمهيد دول والكساد الأثناء. انه وقام سبتمبر لليابان فسقط أي وقوعها. قدما وانتهاءً الأرواح بلها بولندا الى بريطانيا-فرنسا التقليدية.,"Crèche d'entreprise, Tickets restaurant, Télétravail partiel",110000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Project Management, Team Leadership",1,11
Supply Chain Manager,بحمدوني-القواسم EURL,Operations,Mid,2025-04-14,2025-04-29,2025-05-29,Pharmaceuticals,Tizi Ouzou,Master,14,Freelance,9,Combien indiquer bas souvenir. Affirmer robe rôle jardin aventure parti. Chemise riche coin mari attacher.,"Formation continue, Voiture de fonction, Épargne entreprise",249000,"Project Management, Microsoft Office, Arabic/French Bilingual, Report Writing, Team Leadership",0,12
Department Director,Cosider,General Management,Junior,2025-03-31,2025-05-08,2025-06-07,Telecommunications,Tiaret,Licence,19,CDI,8,Couche égal essayer rapide rouge. Bruit moindre son anglais seconde recevoir après. Descendre fait humide beaux. Établir dernier après juge.,"Prime de performance, Crèche d'entreprise, Formation continue",38000,"Arabic/French Bilingual, Team Leadership, Project Management, Microsoft Office, Report Writing",3,8
Project Manager,لخم LLC SPA,General Management,Lead,2025-04-21,2025-05-31,2025-06-30,Retail,Laghouat,Licence,14,Alternance,13,Sûr saluer avec tenter. Déchirer public vieux mari professeur selon. Longtemps forêt dont aussitôt police chaîne nuage.,"Prime de performance, Assurance maladie, Télétravail partiel",43000,"Report Writing, Microsoft Office, Arabic/French Bilingual, Team Leadership, Project Management",4,6
AI Researcher,Chauvin SARL,Data Science & AI,Mid,2025-04-19,2025-06-04,2025-07-04,Information Technology,Blida,Ingénieur d'État,13,Stage,12,Ville cou marier occasion sonner serrer. Énergie ombre grain entrée lieu large. Assez suivant trouver oublier renverser abandonner. Vue fin grain lune tenir unique. Passage pied mourir ennemi auteur ministre grand. Bas donc bas bonheur.,"Épargne entreprise, Assurance maladie, Prime de performance",223000,"Project Management, Report Writing, Microsoft Office, Team Leadership, Arabic/French Bilingual",1,12
Project Manager,المملوك-البيسار القعقور SPA,General Management,Junior,2025-03-30,2025-05-16,2025-06-15,Aerospace & Defense,Aïn Témouchent,Doctorat,20,Alternance,2,Porte cesser liberté cesser frère six tourner. Voie choisir conseil lien soirée siège. Beau respirer position jouer user siège projet. Train bas important moyen répondre titre danger. Point plante compagnon marchand traverser vouloir. Haut rond croire espoir type.,"Télétravail partiel, Épargne entreprise, Voiture de fonction",74000,"Team Leadership, Microsoft Office, Report Writing, Arabic/French Bilingual, Project Management",2,11
