job_Id,job title,department,date posted,application deadline,valid through,sector,job location,education requirement,edu_value,type of contract,available posts,technical_skills,experience_min_req,experience_max_req,salary
62,Marketplace Coordinator,Marketplace Coordinator,2025-04-20,2025-05-18,2025-06-17,E-Commerce,Sétif,No Formal Education,0,Alternance,9,,0,2,49000
63,Geologist,Environmental Compliance Officer,2025-03-20,2025-04-17,2025-05-17,Mining,Algiers,Master,17,Freelance,1,,6,9,160000
64,Auditor,Auditor,2025-03-17,2025-04-03,2025-05-03,Finance,Bejaïa,Doctorat,20,Alternance,2,"Power BI, Python, Tableau, Excel",0,1,115000
65,Registered Nurse,Clinical Researcher,2025-02-28,2025-03-06,2025-04-05,Healthcare,Mostaganem,Baccalaureate,12,Freelance,10,,0,1,53000
66,Merchandiser,Merchandiser,2025-03-28,2025-04-20,2025-05-20,Retail,Oran,No Formal Education,0,Internship,7,"Loyalty Programs, Retail Expansion, Assortment Planning, Retail Marketing, Private Label Development",0,1,29000
67,VFX Artist,Video Editor,2025-02-15,2025-02-17,2025-03-19,Media & Entertainment,Mostaganem,No Formal Education,0,Internship,2,"Entertainment Law, Media Archiving, Sound Design, Music Production, Virtual Production, Influencer Marketing",0,1,36000
68,HSE Specialist,Drilling Supervisor,2025-05-01,2025-05-06,2025-06-05,Energy & Petroleum,Tébessa,Master,17,CDI,7,"Renewable Integration, Seismic Interpretation, Offshore Drilling, Well Testing, Oilfield Chemicals",6,10,200000
69,Project Engineer,Site Manager,2025-02-21,2025-02-28,2025-03-30,Construction,Constantine,Licence,15,CDD,3,,2,5,74000
70,Safety Officer,Site Manager,2025-04-24,2025-05-14,2025-06-13,Construction,Tipaza,Ingénieur d'État,19,Freelance,5,,4,7,89000
71,Avionics Engineer,Defense Analyst,2025-04-05,2025-04-08,2025-05-08,Aerospace & Defense,Annaba,Master,17,Alternance,8,,0,1,162000
72,Fleet Coordinator,Fleet Coordinator,2025-03-16,2025-04-03,2025-05-03,Transport & Logistics,Tiaret,Ingénieur d'État,19,Freelance,10,,4,5,86000
73,Fleet Coordinator,Customs Compliance Officer,2025-04-05,2025-04-27,2025-05-27,Transport & Logistics,Oran,Master,17,CDI,5,,6,9,90000
74,Sound Designer,Video Editor,2025-03-30,2025-04-11,2025-05-11,Media & Entertainment,Souk Ahras,Master,17,Alternance,1,"Media Archiving, Audience Analytics, OTT Platforms, Set Design, Media Planning, NFTs in Entertainment",0,2,72000
75,UX/UI Designer,Marketplace Coordinator,2025-04-01,2025-04-01,2025-05-01,E-Commerce,Blida,Ingénieur d'État,19,Alternance,5,,0,1,84000
76,Medical Technologist,Clinical Researcher,2025-04-14,2025-04-19,2025-05-19,Healthcare,Algiers,Master,17,Freelance,9,,6,9,80000
77,Irrigation Specialist,Agronomist,2025-04-14,2025-05-10,2025-06-09,Agriculture,Tiaret,No Formal Education,0,Freelance,4,"Aquaponics, Agricultural Robotics, Remote Sensing, Precision Agriculture, GIS Applications",0,1,24000
78,Procurement Officer,Digital Services Manager,2025-04-20,2025-05-02,2025-06-01,Public Sector,Medea,Doctorat,20,CDI,2,,8,10,70000
79,Policy Analyst,Procurement Officer,2025-04-22,2025-05-08,2025-06-07,Public Sector,Constantine,Ingénieur d'État,19,Internship,1,,0,1,59000
80,Quality Assurance Officer,Aquaculture Technician,2025-02-17,2025-03-03,2025-04-02,Fisheries,Tiaret,Licence,15,Freelance,1,"Stock Modeling, Value Addition, Algae Cultivation, Fisheries Technology, Navigation, Coastal Management",2,4,40000
81,Procurement Officer,Procurement Officer,2025-03-21,2025-03-28,2025-04-27,Public Sector,Algiers,Master,17,CDI,5,,6,8,70000
82,Store Manager,Merchandiser,2025-03-23,2025-03-23,2025-04-22,Retail,Mostaganem,Ingénieur d'État,19,Internship,7,"Consumer Behavior, Retail KPIs, Retail Sustainability, Retail Security",0,1,50000
83,VFX Artist,Content Producer,2025-04-18,2025-04-30,2025-05-30,Media & Entertainment,Sétif,Licence,15,CDI,2,"Programmatic Advertising, Interactive Storytelling, Music Production, Makeup Artistry, AR/VR Development, Podcast Production",2,4,62000
84,E-Commerce Manager,UX/UI Designer,2025-03-27,2025-04-04,2025-05-04,E-Commerce,Sétif,Master,17,CDD,1,,6,7,100000
85,Quantity Surveyor,Safety Officer,2025-03-28,2025-04-02,2025-05-02,Construction,Biskra,Doctorat,20,Freelance,4,,8,14,90000
86,VFX Artist,Content Producer,2025-05-02,2025-05-16,2025-06-15,Media & Entertainment,M’sila,No Formal Education,0,Freelance,6,"Digital Rights Management, Virtual Production, Event Production, Public Relations",0,1,36000
87,Project Engineer,Safety Officer,2025-04-29,2025-05-23,2025-06-22,Construction,Algiers,Licence,15,Alternance,10,,0,1,66000
88,Mine Engineer,Geologist,2025-04-07,2025-04-16,2025-05-16,Mining,Biskra,Doctorat,20,CDI,8,,8,10,160000
89,Sound Designer,Content Producer,2025-02-21,2025-03-11,2025-04-10,Media & Entertainment,Batna,Baccalaureate,12,Freelance,10,"Entertainment Law, Color Grading, Digital Rights Management, Social Media Management",0,1,46000
90,Video Editor,Sound Designer,2025-04-22,2025-04-29,2025-05-29,Media & Entertainment,Annaba,Master,17,Internship,10,"Virtual Production, Media Archiving, Music Production, DJing, AI in Media",0,1,71000
91,Video Editor,Content Producer,2025-03-31,2025-04-25,2025-05-25,Media & Entertainment,M’sila,Ingénieur d'État,19,Internship,8,"Virtual Production, Color Grading, AI in Media, Storyboarding",0,1,66000
92,Farm Manager,Irrigation Specialist,2025-05-07,2025-05-07,2025-06-06,Agriculture,Blida,Ingénieur d'État,19,CDI,5,"Agricultural Law, Agronomy, Silviculture, Agricultural Waste Management",4,6,48000
93,Agri-Tech Developer,Agri-Tech Developer,2025-04-06,2025-04-21,2025-05-21,Agriculture,Biskra,Ingénieur d'État,19,CDI,2,"Fertilizer Technology, Water Management, Regenerative Agriculture, Aquaponics",4,6,48000
94,Quantity Surveyor,Quantity Surveyor,2025-03-26,2025-03-26,2025-04-25,Construction,El Oued,Licence,15,CDI,7,,2,4,72000
95,Marine Biologist,Marine Biologist,2025-02-17,2025-03-06,2025-04-05,Fisheries,Sétif,Baccalaureate,12,CDD,10,"Aquaculture, GIS Applications, Quality Control, Food Safety, Marine Protected Areas, Disease Management",0,1,30000
96,Agronomist,Irrigation Specialist,2025-05-03,2025-05-17,2025-06-16,Agriculture,Biskra,Baccalaureate,12,Internship,10,"Vertical Farming, Livestock Management, Commodity Trading, Agricultural Biotechnology",0,1,30000
97,Network Engineer,Billing Specialist,2025-03-02,2025-03-04,2025-04-03,Telecommunications,Biskra,Baccalaureate,12,Alternance,8,,0,1,73000
98,Registered Nurse,Health Informatics Specialist,2025-03-02,2025-03-29,2025-04-28,Healthcare,Biskra,Master,17,CDD,7,,6,10,80000
99,Energy Auditor,Energy Auditor,2025-02-14,2025-02-18,2025-03-20,Renewable Energy,Batna,Doctorat,20,CDD,4,,8,10,130000
100,Marketplace Coordinator,E-Commerce Manager,2025-04-19,2025-05-12,2025-06-11,E-Commerce,Skikda,Ingénieur d'État,19,Freelance,8,,4,7,98000
101,Instructional Designer,Academic Advisor,2025-04-27,2025-04-30,2025-05-30,Education,Tipaza,Baccalaureate,12,CDD,1,"Data-Driven Instruction, Teacher Training, Classroom Management, Gamification",0,2,40000
102,Geologist,Mine Engineer,2025-04-21,2025-05-16,2025-06-15,Mining,Constantine,Ingénieur d'État,19,CDD,1,,4,6,155000
103,Flight Test Engineer,Systems Engineer,2025-04-22,2025-04-28,2025-05-28,Aerospace & Defense,Oran,Master,17,CDD,8,,6,7,180000
104,RF Technician,Network Engineer,2025-02-19,2025-03-14,2025-04-13,Telecommunications,Batna,Master,17,CDD,8,,6,9,120000
105,Maintenance Engineer,Quality Control Inspector,2025-04-01,2025-04-09,2025-05-09,Manufacturing,Annaba,Baccalaureate,12,Internship,3,"Robotics, PLC Programming, SCADA, 3D Printing, Lean Six Sigma",0,1,46000
106,Agri-Tech Developer,Irrigation Specialist,2025-03-04,2025-03-29,2025-04-28,Agriculture,Algiers,Master,17,CDI,1,"Agricultural Biotechnology, Farm Management Software, Agri-Fintech, Agricultural Data Science, Drone Technology",6,8,50000
107,Safety Officer,Safety Officer,2025-05-02,2025-05-31,2025-06-30,Construction,Algiers,Master,17,Internship,5,,0,1,81000
108,VFX Artist,Video Editor,2025-03-20,2025-03-30,2025-04-29,Media & Entertainment,Sétif,Ingénieur d'État,19,CDD,3,"Public Relations, Media Buying, Game Development, Film Financing",4,8,80000
109,Software Engineer,Software Engineer,2025-03-31,2025-04-09,2025-05-09,Information Technology,Sétif,Ingénieur d'État,19,Alternance,7,"C, Python, Cybersecurity, Kubernetes, Web Development",0,1,125000
110,Clinical Trials Manager,Regulatory Affairs Specialist,2025-04-17,2025-05-02,2025-06-01,Pharmaceuticals,Annaba,Licence,15,CDI,10,,2,5,114000
111,DevOps Engineer,DevOps Engineer,2025-03-17,2025-04-04,2025-05-04,Information Technology,Blida,Licence,15,CDD,9,"Computer Vision, PowerShell, Kotlin, C++, Bash, Python",2,4,118000
112,Marine Biologist,Quality Assurance Officer,2025-03-21,2025-04-15,2025-05-15,Fisheries,Tlemcen,Baccalaureate,12,Freelance,7,"Feed Formulation, Quality Control, Market Analysis, Stock Enhancement, Fisheries Education, Water Quality",0,1,30000
113,Agronomist,Agri-Tech Developer,2025-03-22,2025-03-27,2025-04-26,Agriculture,Blida,Licence,15,CDD,6,"Remote Sensing, Livestock Management, Agricultural Extension, Organic Farming, Pest Management, Silviculture",2,4,40000
114,Medical Technologist,Health Informatics Specialist,2025-03-03,2025-03-13,2025-04-12,Healthcare,Annaba,Ingénieur d'État,19,Freelance,1,,4,5,77000
115,Flight Test Engineer,Flight Test Engineer,2025-02-13,2025-03-01,2025-03-31,Aerospace & Defense,Batna,Master,17,Alternance,8,,0,2,165000
116,Grid Integration Specialist,Energy Auditor,2025-02-09,2025-03-09,2025-04-08,Renewable Energy,Constantine,Ingénieur d'État,19,Freelance,4,,4,8,130000
117,Farm Manager,Farm Manager,2025-04-01,2025-04-12,2025-05-12,Agriculture,Algiers,No Formal Education,0,Internship,3,"Hydroponics, Agri-Fintech, Bioenergy, Farm Management Software",0,1,24000
118,Guest Services Manager,Guest Services Manager,2025-04-05,2025-04-15,2025-05-15,Tourism & Hospitality,Algiers,No Formal Education,0,Alternance,9,,0,1,29000
119,Regulatory Affairs Specialist,Clinical Trials Manager,2025-02-07,2025-02-10,2025-03-12,Pharmaceuticals,Oran,Doctorat,20,CDD,4,,8,15,140000
120,Policy Analyst,Policy Analyst,2025-04-16,2025-04-18,2025-05-18,Public Sector,Constantine,Baccalaureate,12,Internship,7,,0,1,43000
121,Store Manager,Sales Associate,2025-03-01,2025-03-04,2025-04-03,Retail,Biskra,No Formal Education,0,CDD,10,"Visual Merchandising, Retail Media Networks, Omnichannel Retail, Customer Experience, Merchandising, Augmented Reality Shopping",0,1,29000
122,Energy Auditor,Grid Integration Specialist,2025-05-05,2025-05-06,2025-06-05,Renewable Energy,Oran,Licence,15,Alternance,6,,0,2,94000
123,DevOps Engineer,Cybersecurity Analyst,2025-05-01,2025-05-17,2025-06-16,Information Technology,Mostaganem,Baccalaureate,12,Alternance,7,"Microservices, Bash, RESTful APIs, Web Development, C++, PowerShell",0,1,89000
124,Telecom Analyst,Network Engineer,2025-02-13,2025-03-09,2025-04-08,Telecommunications,Oran,Baccalaureate,12,Freelance,8,,0,1,73000
125,Sound Designer,Video Editor,2025-03-02,2025-03-15,2025-04-14,Media & Entertainment,Bejaïa,Ingénieur d'État,19,CDI,5,"Screenwriting, Music Production, Media Distribution, Media Planning",4,5,76000
126,Inventory Coordinator,Merchandiser,2025-04-12,2025-05-05,2025-06-04,Retail,Adrar,No Formal Education,0,Freelance,5,"Retail Digital Transformation, Retail IoT, Retail Store Design, Circular Economy",0,1,29000
127,Billing Specialist,Telecom Analyst,2025-02-27,2025-03-25,2025-04-24,Telecommunications,M’sila,Ingénieur d'État,19,Internship,10,,0,1,101000
128,DevOps Engineer,Cybersecurity Analyst,2025-02-19,2025-03-18,2025-04-17,Information Technology,Batna,Ingénieur d'État,19,Freelance,2,"UI/UX Design, Functional Programming, C#, Computer Vision",4,6,146000
129,DevOps Engineer,Data Scientist,2025-04-03,2025-04-25,2025-05-25,Information Technology,Jijel,Ingénieur d'État,19,CDI,8,"Scrum, Docker, SQL, Cybersecurity, Java, C++",4,8,150000
130,Environmental Compliance Officer,Blasting Technician,2025-03-02,2025-03-24,2025-04-23,Mining,Mostaganem,No Formal Education,0,CDI,2,,0,1,72000
131,Reservoir Engineer,Petroleum Engineer,2025-04-26,2025-05-15,2025-06-14,Energy & Petroleum,Sétif,Doctorat,20,CDI,2,"GIS Applications, Process Safety, Petroleum Economics, Well Logging, Risk Assessment, Energy Transition",8,11,200000
132,HSE Specialist,Petroleum Engineer,2025-02-25,2025-03-01,2025-03-31,Energy & Petroleum,Constantine,Ingénieur d'État,19,Alternance,3,"SCADA Systems, Supply Chain Management, Hydraulic Fracturing, GIS Applications",0,2,168000
133,Tour Guide,Guest Services Manager,2025-02-16,2025-03-08,2025-04-07,Tourism & Hospitality,Jijel,Ingénieur d'État,19,CDI,4,,4,5,57000
134,Guest Services Manager,Hotel Manager,2025-03-13,2025-04-02,2025-05-02,Tourism & Hospitality,Skikda,Licence,15,Internship,10,,0,1,43000
135,Curriculum Developer,Academic Advisor,2025-03-18,2025-04-09,2025-05-09,Education,Constantine,Doctorat,20,Internship,7,"Andragogy, Flipped Classroom, Learning Analytics, Special Education, Education Advocacy, Robotics Education",0,1,58000
136,Auditor,Portfolio Manager,2025-05-01,2025-05-03,2025-06-02,Finance,Algiers,Ingénieur d'État,19,CDI,8,"SQL, Blockchain, QuickBooks, Risk Analysis Tools",4,8,120000
137,Production Supervisor,Maintenance Engineer,2025-04-13,2025-04-17,2025-05-17,Manufacturing,Annaba,Master,17,Freelance,3,"Python, PLC Programming, Digital Twin, 3D Printing, CAD Software",6,7,80000
138,Flight Test Engineer,Flight Test Engineer,2025-02-12,2025-03-03,2025-04-02,Aerospace & Defense,Oran,Doctorat,20,CDI,4,,8,15,180000
139,Maintenance Engineer,Maintenance Engineer,2025-04-18,2025-05-04,2025-06-03,Manufacturing,Chlef,Doctorat,20,CDI,3,"SCADA, MES, ERP, Robotics, CAD Software, Digital Twin",8,11,80000
140,VFX Artist,Sound Designer,2025-04-25,2025-04-30,2025-05-30,Media & Entertainment,Sétif,Ingénieur d'État,19,Internship,6,"Digital Rights Management, Set Design, Music Production, Visual Effects",0,1,66000
141,Health Informatics Specialist,Clinical Researcher,2025-03-03,2025-03-12,2025-04-11,Healthcare,Bejaïa,Ingénieur d'État,19,Freelance,9,,4,8,80000
142,Medical Technologist,Clinical Researcher,2025-02-25,2025-03-23,2025-04-22,Healthcare,Constantine,Ingénieur d'État,19,CDI,6,,4,7,79000
143,Policy Analyst,Procurement Officer,2025-03-22,2025-03-28,2025-04-27,Public Sector,Annaba,Doctorat,20,Internship,1,,0,1,67000
144,Fleet Coordinator,Supply Chain Analyst,2025-03-19,2025-03-27,2025-04-26,Transport & Logistics,Béjaïa,Baccalaureate,12,CDD,2,,0,1,53000
145,Curriculum Developer,Teacher,2025-03-06,2025-03-28,2025-04-27,Education,Tiaret,Ingénieur d'État,19,Internship,6,"Learning Analytics, AR/VR in Education, Data-Driven Instruction, Inquiry-Based Learning, School Administration, STEM Education",0,1,52000
146,Production Supervisor,Quality Control Inspector,2025-03-03,2025-03-06,2025-04-05,Manufacturing,Laghouat,Ingénieur d'État,19,CDI,4,"MES, Python, Robotics, ERP",4,5,76000
147,Mine Engineer,Mine Engineer,2025-03-22,2025-04-17,2025-05-17,Mining,Batna,Baccalaureate,12,CDI,1,,0,2,95000
148,Quantity Surveyor,Safety Officer,2025-02-16,2025-02-18,2025-03-20,Construction,Algiers,Licence,15,Internship,4,,0,1,66000
149,Financial Analyst,Financial Analyst,2025-04-11,2025-05-07,2025-06-06,Finance,Oran,Baccalaureate,12,CDD,8,"Excel, Risk Analysis Tools, Python, SQL, QuickBooks, Blockchain",0,1,73000
150,Formulation Scientist,Clinical Trials Manager,2025-04-29,2025-04-29,2025-05-29,Pharmaceuticals,Batna,Doctorat,20,Alternance,2,,0,2,136000
151,E-Commerce Manager,SEO Specialist,2025-02-16,2025-02-27,2025-03-29,E-Commerce,Algiers,Ingénieur d'État,19,Freelance,7,,4,5,96000
152,SEO Specialist,SEO Specialist,2025-02-23,2025-03-14,2025-04-13,E-Commerce,Saïda,No Formal Education,0,Internship,2,,0,1,48000
